lead_id,customer_id,lead_source,lead_date,lead_status,lead_score,sales_agent
LEAD00001,CUST00250,Website,2026-05-05,Qualified,40,Agent D
LEAD00002,CUST00314,Referral,2025-01-07,Lost,37,Agent B
LEAD00003,CUST00357,Social Media,2025-10-05,New,66,Agent A
LEAD00004,CUST00368,Referral,2025-12-03,Contacted,89,Agent C
LEAD00005,CUST00429,Event,2025-07-29,Lost,76,Agent B
LEAD00006,CUST00318,Event,2026-05-12,Converted,38,Agent A
LEAD00007,CUST00295,Referral,2025-06-18,New,84,Agent C
LEAD00008,CUST00480,Website,2025-11-26,Lost,22,Agent B
LEAD00009,CUST00314,Referral,2025-05-18,New,61,Agent B
LEAD00010,CUST00500,Email,2026-03-17,Contacted,40,Agent C
LEAD00011,CUST00209,Referral,2026-01-26,Converted,59,Agent B
LEAD00012,CUST00355,Social Media,2026-05-11,New,86,Agent E
LEAD00013,CUST00485,Social Media,2026-01-16,Lost,44,Agent C
LEAD00014,CUST00211,Advertisement,2025-11-02,Contacted,74,Agent B
LEAD00015,CUST00192,Social Media,2025-08-18,Contacted,71,Agent A
LEAD00016,CUST00044,Referral,2026-04-20,Lost,63,Agent A
LEAD00017,CUST00029,Social Media,2025-11-04,Lost,75,Agent E
LEAD00018,CUST00059,Website,2025-06-10,New,74,Agent C
LEAD00019,CUST00071,Social Media,2025-01-01,Qualified,89,Agent B
LEAD00020,CUST00092,Email,2025-08-24,Contacted,96,Agent B
LEAD00021,CUST00265,Website,2026-03-13,New,92,Agent A
LEAD00022,CUST00383,Advertisement,2025-07-07,Lost,100,Agent E
LEAD00023,CUST00220,Email,2026-02-22,New,85,Agent A
LEAD00024,CUST00390,Referral,2025-01-04,Lost,38,Agent A
LEAD00025,CUST00413,Referral,2026-02-05,Converted,26,Agent E
LEAD00026,CUST00442,Referral,2025-05-12,Lost,82,Agent C
LEAD00027,CUST00401,Email,2026-03-03,Lost,61,Agent B
LEAD00028,CUST00400,Email,2025-08-06,Lost,61,Agent C
LEAD00029,CUST00215,Email,2025-09-17,Qualified,78,Agent D
LEAD00030,CUST00479,Website,2025-01-01,Lost,39,Agent D
LEAD00031,CUST00387,Event,2025-03-12,Contacted,92,Agent D
LEAD00032,CUST00277,Website,2026-04-23,Contacted,36,Agent E
LEAD00033,CUST00064,Referral,2025-06-27,New,46,Agent A
LEAD00034,CUST00346,Event,2026-04-02,Qualified,66,Agent C
LEAD00035,CUST00292,Social Media,2025-07-08,New,21,Agent B
LEAD00036,CUST00490,Referral,2025-10-18,Contacted,82,Agent D
LEAD00037,CUST00485,Advertisement,2025-01-08,Contacted,81,Agent C
LEAD00038,CUST00245,Website,2025-09-10,Converted,38,Agent D
LEAD00039,CUST00470,Email,2026-02-12,Lost,36,Agent D
LEAD00040,CUST00062,Website,2026-04-12,Contacted,88,Agent B
LEAD00041,CUST00426,Email,2025-10-19,New,58,Agent E
LEAD00042,CUST00332,Event,2026-03-10,New,90,Agent A
LEAD00043,CUST00170,Advertisement,2025-09-01,Lost,100,Agent E
LEAD00044,CUST00445,Event,2025-05-03,Lost,58,Agent C
LEAD00045,CUST00269,Advertisement,2025-10-26,Converted,55,Agent E
LEAD00046,CUST00267,Website,2025-10-10,Qualified,59,Agent C
LEAD00047,CUST00054,Email,2025-02-01,New,64,Agent C
LEAD00048,CUST00016,Event,2025-11-30,Lost,23,Agent A
LEAD00049,CUST00008,Advertisement,2026-01-12,New,44,Agent B
