opportunity_id,lead_id,customer_id,product,opportunity_stage,opportunity_value,probability,created_date,sales_agent
OPP00001,LEAD00377,CUST00430,AI Platform,Won,154334.48,83,2025-12-31,Agent A
OPP00002,LEAD00384,CUST00440,Support Package,Lost,148372.72,28,2025-03-06,Agent D
OPP00003,LEAD00152,CUST00249,Laptop,Proposal,95585.76,37,2025-11-22,Agent A
OPP00004,LEAD00751,CUST00246,Laptop,Qualification,124084.1,90,2025-03-10,Agent A
OPP00005,LEAD00627,CUST00428,Laptop,Negotiation,81876.63,37,2025-05-01,Agent B
OPP00006,LEAD00319,CUST00075,Analytics Suite,Qualification,39751.88,28,2025-04-19,Agent E
OPP00007,LEAD00369,CUST00157,Laptop,Qualification,57381.3,96,2025-11-12,Agent E
OPP00008,LEAD00606,CUST00223,Cloud Subscription,Prospecting,30850.84,29,2025-09-04,Agent E
OPP00009,LEAD00560,CUST00190,Support Package,Won,172352.05,22,2026-03-10,Agent C
OPP00010,LEAD00703,CUST00473,CRM License,Won,166878.21,86,2025-04-03,Agent B
OPP00011,LEAD00462,CUST00052,AI Platform,Won,237898.56,52,2025-09-25,Agent E
OPP00012,LEAD00012,CUST00438,Laptop,Prospecting,183771.21,20,2025-04-13,Agent E
OPP00013,LEAD00156,CUST00088,Support Package,Proposal,17751.23,57,2026-03-07,Agent B
OPP00014,LEAD00684,CUST00313,Laptop,Proposal,221640.07,24,2026-03-27,Agent A
OPP00015,LEAD00477,CUST00339,Analytics Suite,Negotiation,216355.41,26,2025-04-22,Agent E
OPP00016,LEAD00401,CUST00066,Laptop,Proposal,113613.48,63,2025-11-17,Agent A
OPP00017,LEAD00177,CUST00150,Laptop,Proposal,148536.45,59,2026-02-15,Agent E
OPP00018,LEAD00341,CUST00020,Laptop,Won,244139.19,37,2025-10-31,Agent D
OPP00019,LEAD00057,CUST00033,Laptop,Lost,135414.57,92,2025-12-10,Agent C
OPP00020,LEAD00448,CUST00328,AI Platform,Qualification,226803.85,13,2025-03-03,Agent E
OPP00021,LEAD00203,CUST00281,Support Package,Proposal,25344.5,31,2025-10-27,Agent D
OPP00022,LEAD00697,CUST00046,Analytics Suite,Proposal,51807.71,95,2026-02-07,Agent B
OPP00023,LEAD00633,CUST00073,Laptop,Prospecting,112984.96,48,2026-03-19,Agent D
OPP00024,LEAD00738,CUST00354,Laptop,Negotiation,148265.42,43,2025-05-16,Agent B
OPP00025,LEAD00202,CUST00313,Laptop,Lost,204975.82,53,2025-02-24,Agent E
OPP00026,LEAD00330,CUST00343,Laptop,Prospecting,247124.22,51,2025-04-18,Agent B
OPP00027,LEAD00363,CUST00133,Cloud Subscription,Won,100268.62,49,2025-10-30,Agent D
