deal_id,opportunity_id,customer_id,product,deal_stage,engage_date,close_date,close_value,sales_agent
DEAL00001,OPP00592,CUST00154,AI Platform,Qualification,2025-05-25,2026-04-16,177825.17,Agent B
DEAL00002,OPP00141,CUST00274,Cloud Subscription,Qualification,2025-12-22,2025-11-24,234567.38,Agent C
DEAL00003,OPP00474,CUST00298,Cloud Subscription,Proposal,2025-01-14,2025-08-11,60085.45,Agent D
DEAL00004,OPP00031,CUST00051,Cloud Subscription,Proposal,2025-10-02,2025-06-17,119713.31,Agent C
DEAL00005,OPP00063,CUST00500,Analytics Suite,Proposal,2025-03-12,2026-04-25,66375.8,Agent E
DEAL00006,OPP00560,CUST00369,Cloud Subscription,Prospecting,2025-11-11,2025-11-07,24622.58,Agent D
DEAL00007,OPP00087,CUST00212,Support Package,Lost,2025-07-14,2025-08-09,103791.48,Agent B
DEAL00008,OPP00304,CUST00144,Laptop,Lost,2025-12-19,2025-09-21,96649.78,Agent C
DEAL00009,OPP00061,CUST00357,Analytics Suite,Lost,2025-10-27,2026-01-18,71256.36,Agent A
DEAL00010,OPP00396,CUST00003,Support Package,Lost,2026-02-20,2025-06-21,77763.75,Agent A
DEAL00011,OPP00334,CUST00254,CRM License,Proposal,2026-01-02,2025-10-13,93300.89,Agent A
DEAL00012,OPP00411,CUST00475,Support Package,Prospecting,2025-01-11,2026-02-18,247265.22,Agent D
DEAL00013,OPP00284,CUST00335,Support Package,Lost,2025-04-16,2025-09-19,196824.65,Agent B
DEAL00014,OPP00466,CUST00256,CRM License,Won,2025-09-15,2026-09-30,22493.29,Agent B
DEAL00015,OPP00080,CUST00098,Support Package,Negotiation,2026-04-19,2026-02-01,218741.23,Agent B
DEAL00016,OPP00077,CUST00173,Laptop,Won,2026-01-16,2026-03-10,160159.31,Agent C
DEAL00017,OPP00540,CUST00150,Analytics Suite,Prospecting,2025-07-15,2025-06-08,223195.47,Agent D
DEAL00018,OPP00361,CUST00488,AI Platform,Prospecting,2025-05-25,2026-08-31,88718.87,Agent A
DEAL00019,OPP00077,CUST00279,CRM License,Negotiation,2026-04-10,2026-03-11,118807.12,Agent C
DEAL00020,OPP00509,CUST00059,Analytics Suite,Qualification,2025-08-08,2025-12-24,224575.63,Agent B
DEAL00021,OPP00164,CUST00446,Cloud Subscription,Qualification,2025-12-16,2025-12-11,71780.42,Agent A
DEAL00022,OPP00009,CUST00113,Laptop,Qualification,2026-02-28,2026-08-29,229297.71,Agent D
DEAL00023,OPP00175,CUST00324,AI Platform,Proposal,2026-04-16,2025-07-17,207982.43,Agent E
DEAL00024,OPP00462,CUST00243,Laptop,Qualification,2025-06-23,2026-09-09,245236.7,Agent B
DEAL00025,OPP00307,CUST00310,Laptop,Proposal,2025-08-04,2026-05-08,84443.11,Agent B
DEAL00026,OPP00588,CUST00057,Cloud Subscription,Proposal,2025-04-03,2026-01-28,62759.53,Agent B
DEAL00027,OPP00245,CUST00489,AI Platform,Qualification,2025-09-17,2025-06-10,86062.39,Agent B
DEAL00028,OPP00122,CUST00407,Laptop,Qualification,2026-02-26,2026-06-05,238889.2,Agent A
DEAL00029,OPP00185,CUST00367,Cloud Subscription,Negotiation,2025-03-04,2026-03-16,86602.96,Agent D
DEAL00030,OPP00032,CUST00060,CRM License,Lost,2025-01-29,2026-06-26,143476.9,Agent C
DEAL00031,OPP00569,CUST00329,Cloud Subscription,Negotiation,2025-10-02,2025-10-09,103901.42,Agent A
DEAL00032,OPP00310,CUST00216,Support Package,Proposal,2025-12-13,2026-02-25,102073.94,Agent D
DEAL00033,OPP00372,CUST00469,Analytics Suite,Negotiation,2025-10-12,2026-08-02,52377.76,Agent C
DEAL00034,OPP00596,CUST00233,Cloud Subscription,Proposal,2026-04-29,2026-03-29,136584.49,Agent B
DEAL00035,OPP00056,CUST00494,Cloud Subscription,Prospecting,2026-02-23,2025-07-31,213104.04,Agent D
DEAL00036,OPP00273,CUST00055,Cloud Subscription,Proposal,2026-01-07,2025-11-11,17123.83,Agent B
DEAL00037,OPP00464,CUST00373,Laptop,Proposal,2025-03-11,2025-06-13,222860.52,Agent D
DEAL00038,OPP00456,CUST00208,AI Platform,Negotiation,2026-01-14,2026-02-27,168040.88,Agent E
DEAL00039,OPP00249,CUST00063,Cloud Subscription,Lost,2025-10-06,2025-12-25,156100.83,Agent B
DEAL00040,OPP00078,CUST00184,Cloud Subscription,Prospecting,2025-08-19,2026-02-01,158345.56,Agent B
DEAL00041,OPP00534,CUST00311,Support Package,Won,2025-10-29,2025-10-11,77586.11,Agent B
DEAL00042,OPP00108,CUST00281,Support Package,Won,2025-09-12,2026-01-30,106710.4,Agent A
DEAL00043,OPP00273,CUST00026,CRM License,Lost,2025-06-21,2026-09-16,200826.05,Agent C
DEAL00044,OPP00015,CUST00177,CRM License,Won,2026-03-08,2026-03-21,80063.35,Agent B
DEAL00045,OPP00370,CUST00063,Support Package,Prospecting,2025-06-29,2026-09-29,120154.95,Agent B
DEAL00046,OPP00304,CUST00429,AI Platform,Qualification,2025-09-21,2026-08-08,9809.91,Agent A
DEAL00047,OPP00205,CUST00073,CRM License,Prospecting,2025-07-02,2025-07-08,184721.8,Agent A
DEAL00048,OPP00113,CUST00335,Analytics Suite,Negotiation,2025-11-18,2026-05-25,107337.03,Agent E
DEAL00049,OPP00253,CUST00167,Analytics Suite,Proposal,2025-07-24,2025-07-26,133712.9,Agent D
DEAL00050,OPP00441,CUST00225,AI Platform,Proposal,2026-02-28,2026-04-15,33098.88,Agent B
DEAL00051,OPP00186,CUST00065,Support Package,Negotiation,2025-09-06,2026-06-11,247969.99,Agent D
DEAL00052,OPP00227,CUST00069,CRM License,Negotiation,2025-08-01,2025-07-18,79104.62,Agent A
DEAL00053,OPP00528,CUST00440,Cloud Subscription,Proposal,2025-06-08,2025-09-13,160572.47,Agent A
DEAL00054,OPP00354,CUST00009,Support Package,Lost,2026-05-15,2026-09-17,147402.9,Agent E
DEAL00055,OPP00001,CUST00236,CRM License,Qualification,2026-03-08,2025-07-29,197347.59,Agent C
DEAL00056,OPP00553,CUST00198,AI Platform,Qualification,2025-04-10,2025-08-16,76990.05,Agent A
DEAL00057,OPP00560,CUST00412,Analytics Suite,Qualification,2025-11-13,2026-08-02,190202.2,Agent B
DEAL00058,OPP00420,CUST00173,AI Platform,Negotiation,2025-04-22,2026-10-12,98712.92,Agent E
DEAL00059,OPP00161,CUST00282,CRM License,Proposal,2025-11-04,2026-01-04,105734.44,Agent C
DEAL00060,OPP00161,CUST00028,AI Platform,Lost,2025-06-15,2026-06-18,169814.57,Agent E
DEAL00061,OPP00128,CUST00296,CRM License,Proposal,2026-04-20,2025-07-25,197150.01,Agent A
DEAL00062,OPP00151,CUST00399,CRM License,Proposal,2025-02-05,2025-07-25,168382.33,Agent C
DEAL00063,OPP00444,CUST00134,AI Platform,Lost,2025-04-22,2025-10-07,225470.48,Agent D
DEAL00064,OPP00471,CUST00027,Laptop,Prospecting,2025-03-28,2026-06-27,74863.96,Agent C
DEAL00065,OPP00463,CUST00038,Cloud Subscription,Lost,2025-07-02,2026-06-18,225651.1,Agent B
DEAL00066,OPP00030,CUST00196,Support Package,Prospecting,2025-03-26,2026-06-23,37061.56,Agent D
DEAL00067,OPP00473,CUST00203,Analytics Suite,Won,2025-09-26,2025-08-24,166584.93,Agent D
DEAL00068,OPP00557,CUST00085,Cloud Subscription,Prospecting,2025-06-14,2025-12-31,139169.51,Agent B
DEAL00069,OPP00080,CUST00320,Support Package,Qualification,2025-10-30,2025-09-23,126185.81,Agent D
DEAL00070,OPP00039,CUST00030,Support Package,Qualification,2025-03-31,2026-08-11,81173.45,Agent A
DEAL00071,OPP00240,CUST00466,Analytics Suite,Lost,2026-05-03,2026-04-10,128414.52,Agent C
DEAL00072,OPP00557,CUST00099,Cloud Subscription,Qualification,2026-03-31,2026-03-20,44634.47,Agent C
DEAL00073,OPP00590,CUST00387,Analytics Suite,Qualification,2025-08-26,2025-07-19,95483.63,Agent B
DEAL00074,OPP00337,CUST00190,CRM License,Won,2026-05-02,2025-08-06,29176.82,Agent A
DEAL00075,OPP00280,CUST00012,Analytics Suite,Qualification,2025-01-22,2026-03-02,145102.42,Agent D
DEAL00076,OPP00116,CUST00091,AI Platform,Negotiation,2025-06-16,2025-10-07,28463.13,Agent C
DEAL00077,OPP00269,CUST00030,Laptop,Negotiation,2025-08-03,2025-06-29,44284.44,Agent C
DEAL00078,OPP00335,CUST00213,Laptop,Negotiation,2025-02-27,2026-05-09,25939.37,Agent C
DEAL00079,OPP00312,CUST00038,Laptop,Prospecting,2025-01-30,2025-07-03,98421.11,Agent C
DEAL00080,OPP00053,CUST00341,Cloud Subscription,Lost,2026-02-06,2025-09-27,211279.82,Agent E
DEAL00081,OPP00068,CUST00060,Cloud Subscription,Lost,2025-04-16,2025-11-27,227189.62,Agent B
DEAL00082,OPP00034,CUST00294,CRM License,Proposal,2026-02-06,2026-07-30,22612.92,Agent D
DEAL00083,OPP00386,CUST00360,Laptop,Won,2026-05-09,2025-10-29,160464.78,Agent D
DEAL00084,OPP00249,CUST00143,CRM License,Negotiation,2025-11-26,2025-10-11,172674.43,Agent B
DEAL00085,OPP00111,CUST00402,Laptop,Negotiation,2025-06-16,2026-04-23,135773.64,Agent A
DEAL00086,OPP00094,CUST00180,Cloud Subscription,Qualification,2025-12-16,2025-12-02,168411.29,Agent B
DEAL00087,OPP00410,CUST00285,AI Platform,Negotiation,2025-06-03,2025-10-12,62254.23,Agent C
DEAL00088,OPP00179,CUST00112,AI Platform,Qualification,2025-11-23,2025-11-24,124962.83,Agent C
DEAL00089,OPP00047,CUST00230,AI Platform,Qualification,2025-01-07,2025-06-22,100764.58,Agent B
DEAL00090,OPP00376,CUST00444,Analytics Suite,Proposal,2025-07-16,2026-01-27,26978.45,Agent B
DEAL00091,OPP00587,CUST00021,AI Platform,Prospecting,2025-11-17,2025-08-16,158261.33,Agent D
DEAL00092,OPP00202,CUST00145,Support Package,Qualification,2025-02-15,2025-12-21,126327.72,Agent D
DEAL00093,OPP00445,CUST00489,Laptop,Qualification,2025-01-18,2025-06-04,72417.64,Agent E
