campaign_id,company,campaign_type,target_audience,duration_days,channel_used,conversion_rate,acquisition_cost,roi,location
CAMP00001,Alpha Corp,Social Media,18-25,39,Instagram,0.2493,5095.8,6.04,USA
CAMP00002,Beta Ltd,Search,36-45,49,LinkedIn,0.2547,14784.55,2.49,USA
CAMP00003,Alpha Corp,Influencer,36-45,49,Email,0.2052,7875.31,0.63,Australia
CAMP00004,Alpha Corp,Influencer,26-35,38,Instagram,0.0983,2196.36,4.1,Germany
CAMP00005,Delta Solutions,Influencer,46-60,25,LinkedIn,0.0203,3373.15,6.94,Australia
CAMP00006,Beta Ltd,Social Media,26-35,38,Facebook,0.2813,7280.97,7.22,Australia
CAMP00007,Beta Ltd,Social Media,18-25,42,YouTube,0.18,732.82,7.67,India
CAMP00008,Gamma Inc,Search,26-35,41,Email,0.0965,6991.76,7.1,Australia
CAMP00009,Alpha Corp,Display,36-45,28,Instagram,0.0532,6342.22,4.85,UK
CAMP00010,Delta Solutions,Search,26-35,27,Facebook,0.2506,11712.11,3.83,Germany
CAMP00011,Delta Solutions,Influencer,18-25,19,Google,0.2526,5388.64,6.31,India
CAMP00012,Beta Ltd,Influencer,26-35,17,Facebook,0.2462,14739.98,6.05,Germany
CAMP00013,Alpha Corp,Email,36-45,39,Instagram,0.1971,2793.47,4.54,India
CAMP00014,Delta Solutions,Search,46-60,47,YouTube,0.1161,8905.7,1.15,UK
CAMP00015,Gamma Inc,Influencer,18-25,6,LinkedIn,0.0982,1436.52,7.45,Australia
CAMP00016,Alpha Corp,Influencer,26-35,24,Google,0.0125,11034.57,3.92,India
CAMP00017,Alpha Corp,Display,36-45,19,Google,0.2517,14921.83,3.23,India
CAMP00018,Alpha Corp,Email,18-25,24,YouTube,0.0354,12305.17,5.22,India
CAMP00019,Delta Solutions,Search,18-25,19,Google,0.1929,8379.98,5.55,UK
CAMP00020,Beta Ltd,Social Media,36-45,16,Email,0.1562,7322.65,2.08,Germany
CAMP00021,Beta Ltd,Search,26-35,16,Instagram,0.1627,12541.95,6.78,UK
CAMP00022,Gamma Inc,Search,26-35,19,Google,0.2787,14046.01,2.67,India
CAMP00023,Delta Solutions,Display,26-35,10,Facebook,0.0192,14839.18,1.9,India
CAMP00024,Alpha Corp,Search,18-25,36,LinkedIn,0.2343,6008.43,3.55,Australia
CAMP00025,Gamma Inc,Display,46-60,28,Instagram,0.0251,14864.67,5.98,UK
CAMP00026,Gamma Inc,Display,18-25,47,YouTube,0.0211,2423.3,7.74,UK
