interaction_id,customer_id,agent_id,interaction_datetime,channel,call_reason,duration_minutes,outcome,satisfaction_score
CALL00001,CUST00391,AG004,2025-01-01 00:00:00,Email,Cancellation,28,Follow-up Required,2
CALL00002,CUST00009,AG005,2025-01-01 18:00:00,Chat,Cancellation,2,Escalated,4
CALL00003,CUST00232,AG001,2025-01-02 12:00:00,Phone,Billing,34,Escalated,5
CALL00004,CUST00099,AG001,2025-01-03 06:00:00,Phone,Cancellation,38,Follow-up Required,1
CALL00005,CUST00218,AG003,2025-01-04 00:00:00,Phone,Product Query,3,Follow-up Required,3
CALL00006,CUST00453,AG003,2025-01-04 18:00:00,Chat,Billing,1,No Response,2
CALL00007,CUST00397,AG005,2025-01-05 12:00:00,Chat,Product Query,31,Follow-up Required,5
CALL00008,CUST00237,AG005,2025-01-06 06:00:00,Phone,Product Query,56,Resolved,3
CALL00009,CUST00222,AG005,2025-01-07 00:00:00,Email,Billing,23,Escalated,5
CALL00010,CUST00168,AG003,2025-01-07 18:00:00,Email,Product Query,20,Follow-up Required,4
CALL00011,CUST00370,AG004,2025-01-08 12:00:00,Chat,Complaint,16,Escalated,3
CALL00012,CUST00062,AG003,2025-01-09 06:00:00,Email,Cancellation,46,Follow-up Required,2
CALL00013,CUST00318,AG003,2025-01-10 00:00:00,Phone,Billing,32,Resolved,4
CALL00014,CUST00487,AG001,2025-01-10 18:00:00,Chat,Billing,17,Follow-up Required,3
CALL00015,CUST00010,AG005,2025-01-11 12:00:00,Chat,Complaint,18,Escalated,5
CALL00016,CUST00234,AG002,2025-01-12 06:00:00,Email,Complaint,57,Escalated,4
CALL00017,CUST00087,AG005,2025-01-13 00:00:00,Chat,Complaint,4,Escalated,2
CALL00018,CUST00267,AG004,2025-01-13 18:00:00,Email,Complaint,35,No Response,3
CALL00019,CUST00204,AG004,2025-01-14 12:00:00,Email,Technical Support,40,Escalated,5
CALL00020,CUST00318,AG005,2025-01-15 06:00:00,Phone,Billing,36,Follow-up Required,5
CALL00021,CUST00333,AG005,2025-01-16 00:00:00,Email,Product Query,23,Resolved,4
CALL00022,CUST00360,AG003,2025-01-16 18:00:00,Email,Billing,15,Resolved,3
CALL00023,CUST00241,AG002,2025-01-17 12:00:00,Chat,Billing,13,Follow-up Required,5
CALL00024,CUST00056,AG003,2025-01-18 06:00:00,Phone,Billing,14,No Response,4
CALL00025,CUST00110,AG001,2025-01-19 00:00:00,Phone,Complaint,14,Follow-up Required,1
CALL00026,CUST00049,AG001,2025-01-19 18:00:00,Email,Complaint,37,Escalated,5
CALL00027,CUST00243,AG004,2025-01-20 12:00:00,Chat,Technical Support,5,No Response,4
CALL00028,CUST00016,AG004,2025-01-21 06:00:00,Chat,Billing,59,Follow-up Required,1
CALL00029,CUST00073,AG002,2025-01-22 00:00:00,Chat,Cancellation,22,No Response,4
CALL00030,CUST00372,AG004,2025-01-22 18:00:00,Phone,Technical Support,28,Resolved,5
CALL00031,CUST00202,AG001,2025-01-23 12:00:00,Phone,Complaint,45,Follow-up Required,1
CALL00032,CUST00093,AG002,2025-01-24 06:00:00,Email,Billing,4,Follow-up Required,4
CALL00033,CUST00137,AG001,2025-01-25 00:00:00,Email,Complaint,50,Resolved,3
CALL00034,CUST00033,AG005,2025-01-25 18:00:00,Chat,Product Query,38,No Response,1
CALL00035,CUST00088,AG005,2025-01-26 12:00:00,Email,Complaint,29,Resolved,4
CALL00036,CUST00419,AG002,2025-01-27 06:00:00,Chat,Complaint,37,No Response,3
CALL00037,CUST00203,AG003,2025-01-28 00:00:00,Phone,Technical Support,35,Follow-up Required,1
CALL00038,CUST00039,AG004,2025-01-28 18:00:00,Email,Product Query,20,No Response,4
CALL00039,CUST00114,AG002,2025-01-29 12:00:00,Chat,Cancellation,35,No Response,5
CALL00040,CUST00333,AG004,2025-01-30 06:00:00,Phone,Cancellation,35,Escalated,1
CALL00041,CUST00247,AG001,2025-01-31 00:00:00,Chat,Cancellation,20,Escalated,1
CALL00042,CUST00343,AG003,2025-01-31 18:00:00,Email,Billing,2,Escalated,3
CALL00043,CUST00409,AG004,2025-02-01 12:00:00,Chat,Cancellation,52,Resolved,4
CALL00044,CUST00370,AG005,2025-02-02 06:00:00,Phone,Billing,58,Resolved,5
CALL00045,CUST00208,AG005,2025-02-03 00:00:00,Email,Complaint,59,Escalated,3
CALL00046,CUST00312,AG001,2025-02-03 18:00:00,Phone,Cancellation,18,Follow-up Required,1
CALL00047,CUST00432,AG002,2025-02-04 12:00:00,Email,Technical Support,30,Follow-up Required,3
CALL00048,CUST00469,AG004,2025-02-05 06:00:00,Chat,Product Query,42,Follow-up Required,3
CALL00049,CUST00394,AG001,2025-02-06 00:00:00,Phone,Product Query,56,Resolved,3
CALL00050,CUST00297,AG005,2025-02-06 18:00:00,Phone,Complaint,58,No Response,1
CALL00051,CUST00360,AG005,2025-02-07 12:00:00,Chat,Product Query,53,Resolved,2
CALL00052,CUST00211,AG005,2025-02-08 06:00:00,Phone,Product Query,29,Escalated,3
CALL00053,CUST00355,AG003,2025-02-09 00:00:00,Phone,Complaint,39,No Response,2
CALL00054,CUST00059,AG003,2025-02-09 18:00:00,Phone,Complaint,59,Follow-up Required,5
CALL00055,CUST00156,AG005,2025-02-10 12:00:00,Phone,Complaint,52,Resolved,5
CALL00056,CUST00122,AG002,2025-02-11 06:00:00,Chat,Technical Support,58,Resolved,5
CALL00057,CUST00120,AG003,2025-02-12 00:00:00,Phone,Complaint,22,Escalated,4
CALL00058,CUST00297,AG004,2025-02-12 18:00:00,Phone,Complaint,29,Follow-up Required,1
CALL00059,CUST00322,AG003,2025-02-13 12:00:00,Phone,Complaint,46,Resolved,2
