registration_id,customer_id,registration_datetime,registration_source,device_type,browser,country
WEB00001,CUST00760,2026-05-20 14:20:12,Referral,Mobile,Chrome,Singapore
WEB00002,CUST01079,2025-07-21 04:34:53,Organic Search,Tablet,Edge,India
WEB00003,CUST01898,2025-08-02 18:46:11,Advertisement,Desktop,Safari,Australia
WEB00004,CUST01657,2026-06-24 07:46:07,Direct,Mobile,Edge,Germany
WEB00005,CUST00003,2025-05-31 08:41:32,Referral,Tablet,Edge,Germany
WEB00006,CUST01413,2025-05-02 10:10:52,Organic Search,Tablet,Safari,Singapore
WEB00007,CUST01943,2025-01-06 01:00:49,Advertisement,Mobile,Safari,Singapore
WEB00008,CUST00362,2026-04-24 01:30:24,Referral,Tablet,Chrome,Australia
WEB00009,CUST00719,2025-04-30 16:32:20,Advertisement,Desktop,Edge,France
WEB00010,CUST00518,2025-09-15 05:56:33,Direct,Mobile,Firefox,UK
WEB00011,CUST00423,2025-01-26 06:05:08,Direct,Mobile,Safari,Australia
WEB00012,CUST00798,2025-11-04 04:16:56,Social Media,Tablet,Firefox,France
WEB00013,CUST01652,2026-02-17 19:18:40,Direct,Desktop,Safari,India
WEB00014,CUST00152,2025-07-14 04:55:56,Advertisement,Mobile,Edge,UK
WEB00015,CUST00939,2025-02-10 23:10:17,Organic Search,Desktop,Chrome,Germany
WEB00016,CUST01827,2025-05-08 11:57:19,Advertisement,Mobile,Safari,UK
WEB00017,CUST00212,2026-03-24 23:16:12,Organic Search,Mobile,Edge,France
WEB00018,CUST01548,2026-06-08 00:46:08,Social Media,Mobile,Chrome,France
WEB00019,CUST01334,2026-02-13 23:05:42,Advertisement,Mobile,Firefox,USA
WEB00020,CUST00410,2026-07-04 14:22:51,Social Media,Tablet,Chrome,Australia
WEB00021,CUST01557,2025-01-20 19:42:15,Direct,Mobile,Firefox,UK
WEB00022,CUST00445,2026-04-09 17:58:19,Social Media,Desktop,Firefox,Australia
WEB00023,CUST00902,2026-08-15 12:10:33,Advertisement,Desktop,Edge,France
WEB00024,CUST01797,2026-06-10 03:40:32,Social Media,Mobile,Edge,France
WEB00025,CUST01429,2026-08-07 13:51:03,Organic Search,Tablet,Edge,Australia
WEB00026,CUST00976,2025-10-31 14:59:26,Organic Search,Tablet,Safari,Germany
WEB00027,CUST00215,2026-07-19 15:15:12,Social Media,Tablet,Edge,Germany
WEB00028,CUST00199,2025-09-21 03:29:25,Social Media,Desktop,Firefox,UK
WEB00029,CUST00064,2025-05-27 12:29:25,Social Media,Desktop,Firefox,Singapore
WEB00030,CUST00122,2026-05-28 06:03:16,Social Media,Tablet,Chrome,Germany
WEB00031,CUST00438,2026-02-03 06:11:17,Referral,Desktop,Firefox,USA
WEB00032,CUST01023,2026-02-14 00:06:59,Referral,Tablet,Edge,Germany
WEB00033,CUST01962,2025-09-25 02:58:33,Social Media,Desktop,Safari,Singapore
WEB00034,CUST01692,2026-08-17 05:11:52,Direct,Desktop,Firefox,France
WEB00035,CUST00351,2025-07-18 21:52:57,Referral,Mobile,Firefox,Australia
WEB00036,CUST01732,2026-01-01 02:11:29,Referral,Tablet,Safari,France
