app_event_id,customer_id,event_datetime,device_type,app_version,event_type,session_duration_minutes,app_source
APP00001,CUST00373,2025-01-01 00:00:00,iOS,5.2,Login,84,Play Store
APP00002,CUST00222,2025-01-01 20:00:00,iOS,6.0,Search,70,QR Campaign
APP00003,CUST00368,2025-01-02 16:00:00,iOS,5.1,Login,28,Play Store
APP00004,CUST00019,2025-01-03 12:00:00,iOS,5.1,Purchase,13,QR Campaign
APP00005,CUST00350,2025-01-04 08:00:00,Android,5.3,Logout,29,Play Store
APP00006,CUST00247,2025-01-05 04:00:00,Android,6.0,Logout,45,Play Store
APP00007,CUST00031,2025-01-06 00:00:00,iOS,5.2,Purchase,20,Website
APP00008,CUST00080,2025-01-06 20:00:00,iOS,6.0,Add to Cart,58,Website
APP00009,CUST00358,2025-01-07 16:00:00,Android,5.3,Logout,81,QR Campaign
APP00010,CUST00022,2025-01-08 12:00:00,iOS,5.3,Search,54,Website
APP00011,CUST00289,2025-01-09 08:00:00,Android,5.2,Purchase,64,App Store
APP00012,CUST00242,2025-01-10 04:00:00,Android,5.2,Logout,52,App Store
APP00013,CUST00214,2025-01-11 00:00:00,iOS,5.2,Logout,43,QR Campaign
APP00014,CUST00200,2025-01-11 20:00:00,iOS,5.3,View Product,87,Play Store
APP00015,CUST00165,2025-01-12 16:00:00,Android,5.2,Login,18,Website
APP00016,CUST00140,2025-01-13 12:00:00,Android,5.2,Logout,84,QR Campaign
APP00017,CUST00370,2025-01-14 08:00:00,iOS,5.2,Logout,54,App Store
APP00018,CUST00453,2025-01-15 04:00:00,iOS,5.1,View Product,60,Play Store
APP00019,CUST00320,2025-01-16 00:00:00,iOS,5.2,Purchase,71,Website
APP00020,CUST00409,2025-01-16 20:00:00,Android,5.3,Purchase,1,Play Store
APP00021,CUST00438,2025-01-17 16:00:00,iOS,5.1,View Product,37,Play Store
APP00022,CUST00285,2025-01-18 12:00:00,Android,5.3,View Product,49,Website
APP00023,CUST00013,2025-01-19 08:00:00,Android,6.0,Add to Cart,35,Website
APP00024,CUST00026,2025-01-20 04:00:00,iOS,5.1,Login,67,App Store
APP00025,CUST00022,2025-01-21 00:00:00,Android,5.2,View Product,35,App Store
APP00026,CUST00349,2025-01-21 20:00:00,iOS,5.1,Login,9,Play Store
APP00027,CUST00076,2025-01-22 16:00:00,iOS,5.3,Logout,37,Play Store
APP00028,CUST00496,2025-01-23 12:00:00,iOS,5.1,Search,60,App Store
APP00029,CUST00366,2025-01-24 08:00:00,iOS,6.0,Purchase,56,App Store
APP00030,CUST00491,2025-01-25 04:00:00,iOS,5.2,View Product,89,Play Store
APP00031,CUST00092,2025-01-26 00:00:00,Android,5.2,Search,12,QR Campaign
APP00032,CUST00329,2025-01-26 20:00:00,iOS,6.0,Purchase,71,QR Campaign
APP00033,CUST00375,2025-01-27 16:00:00,Android,5.3,Add to Cart,71,QR Campaign
APP00034,CUST00266,2025-01-28 12:00:00,iOS,5.1,Purchase,4,Website
APP00035,CUST00048,2025-01-29 08:00:00,iOS,5.3,View Product,61,App Store
APP00036,CUST00499,2025-01-30 04:00:00,iOS,5.3,Search,45,QR Campaign
APP00037,CUST00170,2025-01-31 00:00:00,iOS,5.3,Search,50,QR Campaign
APP00038,CUST00346,2025-01-31 20:00:00,Android,5.2,Search,50,App Store
APP00039,CUST00245,2025-02-01 16:00:00,iOS,5.1,Purchase,74,Website
APP00040,CUST00228,2025-02-02 12:00:00,iOS,5.2,Login,48,QR Campaign
APP00041,CUST00187,2025-02-03 08:00:00,iOS,5.2,Login,23,Website
APP00042,CUST00437,2025-02-04 04:00:00,Android,5.2,Purchase,87,Website
APP00043,CUST00168,2025-02-05 00:00:00,iOS,5.1,View Product,8,Play Store
APP00044,CUST00203,2025-02-05 20:00:00,Android,6.0,Purchase,83,App Store
APP00045,CUST00446,2025-02-06 16:00:00,iOS,5.2,Login,29,Play Store
APP00046,CUST00006,2025-02-07 12:00:00,iOS,5.2,Purchase,43,QR Campaign
APP00047,CUST00132,2025-02-08 08:00:00,iOS,5.2,Search,53,Play Store
APP00048,CUST00245,2025-02-09 04:00:00,iOS,5.1,View Product,6,App Store
APP00049,CUST00091,2025-02-10 00:00:00,iOS,5.1,View Product,24,Website
APP00050,CUST00311,2025-02-10 20:00:00,iOS,5.3,Add to Cart,74,Website
APP00051,CUST00126,2025-02-11 16:00:00,iOS,5.2,Purchase,14,QR Campaign
APP00052,CUST00472,2025-02-12 12:00:00,Android,5.2,Logout,52,App Store
APP00053,CUST00453,2025-02-13 08:00:00,iOS,5.1,Logout,70,Website
APP00054,CUST00242,2025-02-14 04:00:00,iOS,5.1,Logout,4,QR Campaign
APP00055,CUST00249,2025-02-15 00:00:00,Android,5.2,Search,58,App Store
APP00056,CUST00387,2025-02-15 20:00:00,iOS,6.0,Logout,79,App Store
APP00057,CUST00007,2025-02-16 16:00:00,iOS,5.3,Purchase,37,Play Store
APP00058,CUST00088,2025-02-17 12:00:00,Android,5.3,Add to Cart,48,Website
APP00059,CUST00086,2025-02-18 08:00:00,iOS,5.2,Add to Cart,39,App Store
APP00060,CUST00396,2025-02-19 04:00:00,iOS,5.3,Purchase,66,Website
APP00061,CUST00355,2025-02-20 00:00:00,Android,5.3,Logout,13,Website
APP00062,CUST00145,2025-02-20 20:00:00,Android,5.2,Purchase,66,App Store
APP00063,CUST00451,2025-02-21 16:00:00,iOS,5.3,Purchase,60,Website
APP00064,CUST00331,2025-02-22 12:00:00,Android,5.1,Login,41,Play Store
APP00065,CUST00198,2025-02-23 08:00:00,Android,5.2,Add to Cart,32,QR Campaign
APP00066,CUST00363,2025-02-24 04:00:00,Android,5.1,View Product,52,QR Campaign
APP00067,CUST00164,2025-02-25 00:00:00,iOS,5.2,Logout,5,App Store
APP00068,CUST00145,2025-02-25 20:00:00,iOS,5.1,Logout,67,Play Store
APP00069,CUST00342,2025-02-26 16:00:00,Android,5.3,Login,66,QR Campaign
APP00070,CUST00001,2025-02-27 12:00:00,Android,6.0,Search,78,Play Store
APP00071,CUST00492,2025-02-28 08:00:00,Android,5.1,View Product,52,App Store
APP00072,CUST00120,2025-03-01 04:00:00,Android,5.1,View Product,49,Play Store
APP00073,CUST00067,2025-03-02 00:00:00,iOS,6.0,View Product,29,App Store
APP00074,CUST00464,2025-03-02 20:00:00,iOS,6.0,Add to Cart,38,QR Campaign
APP00075,CUST00355,2025-03-03 16:00:00,iOS,5.1,Search,70,QR Campaign
APP00076,CUST00462,2025-03-04 12:00:00,iOS,5.1,Login,8,QR Campaign
APP00077,CUST00049,2025-03-05 08:00:00,Android,5.1,Search,59,QR Campaign
APP00078,CUST00307,2025-03-06 04:00:00,iOS,5.2,Logout,55,Website
APP00079,CUST00327,2025-03-07 00:00:00,Android,5.1,Login,2,Play Store
APP00080,CUST00474,2025-03-07 20:00:00,Android,5.1,Add to Cart,26,Play Store
APP00081,CUST00376,2025-03-08 16:00:00,Android,6.0,Logout,63,Play Store
APP00082,CUST00427,2025-03-09 12:00:00,Android,6.0,Search,17,App Store
APP00083,CUST00368,2025-03-10 08:00:00,iOS,5.2,View Product,59,QR Campaign
APP00084,CUST00287,2025-03-11 04:00:00,Android,5.2,Search,88,QR Campaign
APP00085,CUST00024,2025-03-12 00:00:00,Android,5.3,Logout,16,Website
APP00086,CUST00211,2025-03-12 20:00:00,Android,5.1,Add to Cart,58,Website
APP00087,CUST00293,2025-03-13 16:00:00,Android,5.1,Add to Cart,64,QR Campaign
APP00088,CUST00449,2025-03-14 12:00:00,iOS,6.0,Add to Cart,50,Play Store
APP00089,CUST00473,2025-03-15 08:00:00,Android,5.3,Login,85,Play Store
APP00090,CUST00063,2025-03-16 04:00:00,iOS,5.1,Search,26,QR Campaign
APP00091,CUST00056,2025-03-17 00:00:00,Android,5.3,View Product,17,App Store
APP00092,CUST00458,2025-03-17 20:00:00,iOS,5.2,View Product,46,Play Store
APP00093,CUST00018,2025-03-18 16:00:00,Android,5.1,Purchase,68,QR Campaign
APP00094,CUST00362,2025-03-19 12:00:00,Android,5.1,Add to Cart,50,QR Campaign
APP00095,CUST00449,2025-03-20 08:00:00,iOS,5.2,Logout,43,Website
APP00096,CUST00413,2025-03-21 04:00:00,iOS,5.1,View Product,48,Website
APP00097,CUST00077,2025-03-22 00:00:00,iOS,5.2,Add to Cart,68,QR Campaign
APP00098,CUST00260,2025-03-22 20:00:00,Android,5.2,View Product,19,App Store
APP00099,CUST00121,2025-03-23 16:00:00,iOS,5.3,Search,25,QR Campaign
APP00100,CUST00396,2025-03-24 12:00:00,iOS,6.0,Purchase,72,Play Store
APP00101,CUST00184,2025-03-25 08:00:00,Android,6.0,Add to Cart,18,App Store
APP00102,CUST00048,2025-03-26 04:00:00,iOS,5.2,Login,51,App Store
APP00103,CUST00147,2025-03-27 00:00:00,Android,5.3,Login,18,Website
APP00104,CUST00282,2025-03-27 20:00:00,Android,5.2,View Product,58,QR Campaign
APP00105,CUST00364,2025-03-28 16:00:00,iOS,5.3,Search,64,Website
APP00106,CUST00294,2025-03-29 12:00:00,Android,5.3,Logout,71,Play Store
APP00107,CUST00080,2025-03-30 08:00:00,Android,6.0,Add to Cart,57,Website
APP00108,CUST00236,2025-03-31 04:00:00,Android,6.0,Purchase,17,Play Store
APP00109,CUST00409,2025-04-01 00:00:00,Android,5.3,Search,59,QR Campaign
APP00110,CUST00440,2025-04-01 20:00:00,iOS,6.0,View Product,67,QR Campaign
APP00111,CUST00458,2025-04-02 16:00:00,iOS,5.3,Search,86,Website
APP00112,CUST00229,2025-04-03 12:00:00,Android,5.1,Purchase,15,Website
APP00113,CUST00284,2025-04-04 08:00:00,iOS,5.2,Search,26,Website
APP00114,CUST00061,2025-04-05 04:00:00,Android,6.0,Add to Cart,48,Play Store
APP00115,CUST00220,2025-04-06 00:00:00,iOS,5.2,View Product,14,App Store
APP00116,CUST00345,2025-04-06 20:00:00,iOS,6.0,Purchase,81,App Store
APP00117,CUST00089,2025-04-07 16:00:00,Android,5.2,View Product,9,Website
APP00118,CUST00435,2025-04-08 12:00:00,Android,5.2,Logout,7,Website
APP00119,CUST00396,2025-04-09 08:00:00,Android,6.0,Add to Cart,55,QR Campaign
APP00120,CUST00264,2025-04-10 04:00:00,Android,6.0,Purchase,12,Website
APP00121,CUST00228,2025-04-11 00:00:00,iOS,6.0,Logout,17,QR Campaign
APP00122,CUST00378,2025-04-11 20:00:00,Android,6.0,Logout,73,Play Store
APP00123,CUST00103,2025-04-12 16:00:00,iOS,5.3,Logout,8,Play Store
APP00124,CUST00442,2025-04-13 12:00:00,iOS,6.0,Purchase,42,Play Store
APP00125,CUST00088,2025-04-14 08:00:00,Android,6.0,View Product,76,Play Store
APP00126,CUST00023,2025-04-15 04:00:00,iOS,6.0,Search,37,Website
APP00127,CUST00293,2025-04-16 00:00:00,Android,5.1,Search,20,Website
APP00128,CUST00267,2025-04-16 20:00:00,Android,5.2,Logout,1,QR Campaign
APP00129,CUST00017,2025-04-17 16:00:00,iOS,6.0,Login,9,Website
APP00130,CUST00476,2025-04-18 12:00:00,Android,6.0,Login,24,QR Campaign
APP00131,CUST00440,2025-04-19 08:00:00,Android,5.2,Purchase,34,Play Store
APP00132,CUST00437,2025-04-20 04:00:00,Android,5.2,View Product,36,QR Campaign
APP00133,CUST00451,2025-04-21 00:00:00,iOS,5.3,Purchase,4,QR Campaign
APP00134,CUST00386,2025-04-21 20:00:00,iOS,5.2,View Product,29,Website
APP00135,CUST00499,2025-04-22 16:00:00,Android,5.2,Add to Cart,87,Play Store
APP00136,CUST00285,2025-04-23 12:00:00,Android,5.1,Login,16,App Store
APP00137,CUST00313,2025-04-24 08:00:00,iOS,5.3,Purchase,8,Website
APP00138,CUST00162,2025-04-25 04:00:00,iOS,5.1,Add to Cart,39,Website
APP00139,CUST00078,2025-04-26 00:00:00,Android,5.2,Search,58,App Store
APP00140,CUST00122,2025-04-26 20:00:00,iOS,6.0,Login,12,Play Store
APP00141,CUST00481,2025-04-27 16:00:00,Android,5.3,View Product,44,App Store
APP00142,CUST00112,2025-04-28 12:00:00,Android,5.2,Logout,4,QR Campaign
APP00143,CUST00239,2025-04-29 08:00:00,Android,5.2,Search,25,App Store
APP00144,CUST00210,2025-04-30 04:00:00,iOS,6.0,Search,70,Play Store
APP00145,CUST00349,2025-05-01 00:00:00,iOS,6.0,Add to Cart,67,Play Store
APP00146,CUST00002,2025-05-01 20:00:00,iOS,6.0,Purchase,39,App Store
APP00147,CUST00380,2025-05-02 16:00:00,Android,5.3,Logout,24,Website
APP00148,CUST00203,2025-05-03 12:00:00,iOS,5.1,Purchase,85,App Store
APP00149,CUST00287,2025-05-04 08:00:00,iOS,5.3,Add to Cart,6,QR Campaign
APP00150,CUST00117,2025-05-05 04:00:00,Android,6.0,Search,72,App Store
APP00151,CUST00369,2025-05-06 00:00:00,iOS,5.3,Login,33,App Store
APP00152,CUST00461,2025-05-06 20:00:00,Android,6.0,Search,48,App Store
APP00153,CUST00300,2025-05-07 16:00:00,Android,5.1,Add to Cart,67,QR Campaign
APP00154,CUST00383,2025-05-08 12:00:00,iOS,5.3,Search,2,App Store
APP00155,CUST00346,2025-05-09 08:00:00,iOS,5.1,Logout,38,Website
APP00156,CUST00440,2025-05-10 04:00:00,Android,5.1,Search,40,QR Campaign
APP00157,CUST00482,2025-05-11 00:00:00,iOS,6.0,Search,56,Website
APP00158,CUST00438,2025-05-11 20:00:00,iOS,5.3,Search,88,QR Campaign
APP00159,CUST00437,2025-05-12 16:00:00,iOS,5.3,Login,21,Play Store
APP00160,CUST00114,2025-05-13 12:00:00,Android,5.1,View Product,82,Play Store
APP00161,CUST00074,2025-05-14 08:00:00,Android,6.0,View Product,35,QR Campaign
APP00162,CUST00460,2025-05-15 04:00:00,iOS,5.1,Purchase,75,QR Campaign
APP00163,CUST00241,2025-05-16 00:00:00,Android,5.1,View Product,75,QR Campaign
APP00164,CUST00470,2025-05-16 20:00:00,iOS,5.1,View Product,67,Play Store
APP00165,CUST00302,2025-05-17 16:00:00,iOS,5.1,View Product,60,QR Campaign
APP00166,CUST00054,2025-05-18 12:00:00,iOS,5.3,Search,23,Play Store
APP00167,CUST00159,2025-05-19 08:00:00,iOS,5.2,Search,65,Play Store
APP00168,CUST00467,2025-05-20 04:00:00,Android,5.3,Logout,63,QR Campaign
APP00169,CUST00109,2025-05-21 00:00:00,iOS,6.0,Login,23,QR Campaign
APP00170,CUST00280,2025-05-21 20:00:00,Android,5.2,Search,86,QR Campaign
APP00171,CUST00153,2025-05-22 16:00:00,Android,5.1,Search,42,Play Store
APP00172,CUST00163,2025-05-23 12:00:00,iOS,5.3,View Product,64,App Store
APP00173,CUST00057,2025-05-24 08:00:00,iOS,5.2,Login,66,QR Campaign
APP00174,CUST00328,2025-05-25 04:00:00,Android,5.1,Login,81,App Store
APP00175,CUST00325,2025-05-26 00:00:00,iOS,5.3,View Product,41,App Store
APP00176,CUST00214,2025-05-26 20:00:00,iOS,5.2,View Product,20,App Store
APP00177,CUST00028,2025-05-27 16:00:00,Android,5.3,Login,9,Website
APP00178,CUST00204,2025-05-28 12:00:00,Android,5.2,Add to Cart,57,App Store
APP00179,CUST00033,2025-05-29 08:00:00,Android,6.0,View Product,75,App Store
APP00180,CUST00309,2025-05-30 04:00:00,iOS,5.3,View Product,17,Play Store
APP00181,CUST00122,2025-05-31 00:00:00,iOS,5.3,Login,78,Website
APP00182,CUST00016,2025-05-31 20:00:00,Android,5.2,Add to Cart,82,Play Store
APP00183,CUST00154,2025-06-01 16:00:00,Android,6.0,Logout,18,Play Store
APP00184,CUST00396,2025-06-02 12:00:00,iOS,5.3,Add to Cart,63,App Store
APP00185,CUST00343,2025-06-03 08:00:00,Android,6.0,Purchase,72,Play Store
APP00186,CUST00497,2025-06-04 04:00:00,Android,6.0,Add to Cart,72,QR Campaign
APP00187,CUST00218,2025-06-05 00:00:00,iOS,5.3,View Product,26,App Store
APP00188,CUST00105,2025-06-05 20:00:00,Android,5.1,Search,72,QR Campaign
APP00189,CUST00077,2025-06-06 16:00:00,iOS,5.2,Login,84,App Store
APP00190,CUST00087,2025-06-07 12:00:00,Android,5.3,Logout,72,App Store
APP00191,CUST00031,2025-06-08 08:00:00,iOS,6.0,View Product,78,App Store
APP00192,CUST00100,2025-06-09 04:00:00,iOS,5.2,Logout,13,Website
APP00193,CUST00155,2025-06-10 00:00:00,Android,5.3,Login,17,App Store
APP00194,CUST00292,2025-06-10 20:00:00,Android,5.2,Logout,26,QR Campaign
APP00195,CUST00315,2025-06-11 16:00:00,Android,5.2,Add to Cart,6,App Store
APP00196,CUST00495,2025-06-12 12:00:00,iOS,6.0,Login,81,App Store
APP00197,CUST00106,2025-06-13 08:00:00,Android,5.1,View Product,4,Play Store
APP00198,CUST00471,2025-06-14 04:00:00,iOS,5.1,Search,89,App Store
APP00199,CUST00230,2025-06-15 00:00:00,Android,5.2,View Product,7,App Store
APP00200,CUST00003,2025-06-15 20:00:00,iOS,6.0,Purchase,17,App Store
APP00201,CUST00222,2025-06-16 16:00:00,Android,6.0,Login,86,App Store
APP00202,CUST00121,2025-06-17 12:00:00,iOS,5.3,View Product,50,App Store
APP00203,CUST00160,2025-06-18 08:00:00,iOS,5.2,Add to Cart,6,App Store
APP00204,CUST00271,2025-06-19 04:00:00,iOS,5.3,Add to Cart,30,Website
APP00205,CUST00486,2025-06-20 00:00:00,iOS,6.0,Logout,74,QR Campaign
APP00206,CUST00331,2025-06-20 20:00:00,iOS,5.2,View Product,56,Website
APP00207,CUST00194,2025-06-21 16:00:00,iOS,5.1,Logout,39,QR Campaign
APP00208,CUST00218,2025-06-22 12:00:00,Android,5.1,Purchase,14,Website
APP00209,CUST00191,2025-06-23 08:00:00,iOS,5.3,Login,54,App Store
APP00210,CUST00252,2025-06-24 04:00:00,Android,5.2,Purchase,22,Website
APP00211,CUST00226,2025-06-25 00:00:00,Android,6.0,Search,57,QR Campaign
APP00212,CUST00001,2025-06-25 20:00:00,Android,5.3,Logout,41,Play Store
APP00213,CUST00459,2025-06-26 16:00:00,Android,5.1,View Product,10,Play Store
APP00214,CUST00133,2025-06-27 12:00:00,Android,6.0,Logout,2,App Store
APP00215,CUST00090,2025-06-28 08:00:00,Android,5.2,Purchase,67,App Store
APP00216,CUST00006,2025-06-29 04:00:00,Android,5.1,Search,48,QR Campaign
APP00217,CUST00483,2025-06-30 00:00:00,iOS,6.0,Purchase,42,Play Store
APP00218,CUST00244,2025-06-30 20:00:00,Android,5.1,Search,11,App Store
APP00219,CUST00133,2025-07-01 16:00:00,Android,5.2,Add to Cart,74,Website
APP00220,CUST00116,2025-07-02 12:00:00,iOS,5.3,Add to Cart,12,Website
APP00221,CUST00073,2025-07-03 08:00:00,iOS,6.0,View Product,14,Play Store
APP00222,CUST00156,2025-07-04 04:00:00,Android,6.0,Purchase,30,QR Campaign
APP00223,CUST00211,2025-07-05 00:00:00,iOS,5.2,Add to Cart,60,App Store
APP00224,CUST00069,2025-07-05 20:00:00,Android,5.1,Logout,77,App Store
APP00225,CUST00471,2025-07-06 16:00:00,iOS,5.1,Login,30,App Store
APP00226,CUST00492,2025-07-07 12:00:00,Android,5.1,Logout,38,Play Store
