engagement_id,campaign_id,customer_id,platform,post_date,post_type,impressions,clicks,likes,comments,shares,engagement_rate
SOC00001,CAMP00796,CUST01584,YouTube,2025-12-31,Text,92344,1357,1769,1773,3291,0.0887
SOC00002,CAMP00315,CUST01929,Instagram,2025-12-22,Image,94025,1849,11548,2629,202,0.1726
SOC00003,CAMP00357,CUST01111,YouTube,2025-08-19,Story,105370,3609,10279,2693,2153,0.1778
SOC00004,CAMP00210,CUST00592,LinkedIn,2026-03-27,Image,69922,278,2866,229,3085,0.0924
SOC00005,CAMP01955,CUST01339,Instagram,2025-06-10,Story,27451,6414,4380,444,614,0.4318
SOC00006,CAMP01763,CUST01519,LinkedIn,2026-03-05,Reel,59095,477,11234,1662,2544,0.2693
SOC00007,CAMP01243,CUST00390,Facebook,2025-11-17,Video,109673,9270,4442,2738,2549,0.1732
SOC00008,CAMP01156,CUST01528,LinkedIn,2025-06-09,Text,167787,14402,11772,2199,4024,0.1931
SOC00009,CAMP00724,CUST01277,X,2026-08-07,Reel,88048,7931,3292,1308,1988,0.1649
SOC00010,CAMP01606,CUST01556,YouTube,2025-11-18,Story,42484,14849,7955,771,847,0.5
SOC00011,CAMP00640,CUST01476,Instagram,2026-03-01,Text,54323,7902,2410,824,2044,0.2426
SOC00012,CAMP00031,CUST00184,YouTube,2026-02-17,Image,92402,611,7643,47,990,0.1005
SOC00013,CAMP00399,CUST01770,Instagram,2026-06-29,Reel,182933,6142,9884,1860,3917,0.1192
SOC00014,CAMP00951,CUST01698,X,2026-05-01,Video,85265,2863,10081,1979,2463,0.2039
SOC00015,CAMP01292,CUST00208,Facebook,2025-04-20,Image,52721,7297,4960,1543,2542,0.31
SOC00016,CAMP01250,CUST00882,Instagram,2025-10-16,Text,94784,7321,11685,2324,3021,0.2569
SOC00017,CAMP00787,CUST01215,Instagram,2026-02-13,Reel,183362,10948,5076,2182,4329,0.1229
SOC00018,CAMP01833,CUST01644,X,2025-01-05,Text,133795,9680,7490,2196,812,0.1508
SOC00019,CAMP00604,CUST01375,Instagram,2025-06-15,Reel,144048,2568,10578,173,199,0.0938
SOC00020,CAMP01199,CUST00669,YouTube,2025-09-09,Story,177460,2602,280,508,4531,0.0446
SOC00021,CAMP00244,CUST01463,YouTube,2025-04-19,Video,6166,2401,8386,2620,4802,0.5
SOC00022,CAMP00263,CUST01835,Instagram,2026-01-02,Story,32374,3204,9123,1700,4215,0.5
SOC00023,CAMP01819,CUST00866,Facebook,2025-06-29,Video,46428,14651,5049,398,933,0.453
SOC00024,CAMP01421,CUST00445,Instagram,2025-03-25,Image,143606,7720,3595,682,628,0.0879
SOC00025,CAMP01337,CUST00916,Facebook,2025-10-16,Reel,42543,3480,8788,2824,1793,0.3969
SOC00026,CAMP00713,CUST00363,Facebook,2026-07-06,Reel,29438,761,6115,1843,4247,0.4405
SOC00027,CAMP01493,CUST01027,LinkedIn,2025-04-01,Image,85669,7575,1451,1361,4402,0.1726
SOC00028,CAMP00485,CUST00025,YouTube,2025-04-17,Reel,2324,2324,7489,1446,4572,0.5
SOC00029,CAMP01258,CUST00119,Facebook,2025-03-09,Video,175970,9361,11420,1765,1395,0.1361
SOC00030,CAMP01698,CUST00576,YouTube,2025-04-01,Video,2577,2577,4440,1710,1222,0.5
SOC00031,CAMP01609,CUST00461,X,2025-09-13,Reel,30903,5911,9445,1750,1488,0.5
SOC00032,CAMP01119,CUST00849,X,2025-01-01,Text,179317,14805,1432,943,4323,0.1199
SOC00033,CAMP00664,CUST01566,LinkedIn,2025-03-18,Video,197575,7300,654,194,371,0.0431
SOC00034,CAMP00986,CUST01535,Instagram,2025-05-29,Video,169419,8122,6510,1580,2815,0.1123
SOC00035,CAMP01985,CUST00518,X,2025-01-01,Reel,99122,14278,3060,1725,501,0.1974
SOC00036,CAMP01683,CUST00129,X,2026-05-14,Video,65872,5566,5730,1546,4011,0.2558
SOC00037,CAMP00112,CUST00062,LinkedIn,2025-06-30,Story,183485,661,4606,2925,1451,0.0526
SOC00038,CAMP01882,CUST00451,Facebook,2026-03-05,Text,130159,11536,11721,515,3012,0.2058
SOC00039,CAMP01888,CUST01637,Facebook,2026-02-08,Story,8948,8948,4315,2236,2132,0.5
SOC00040,CAMP01278,CUST01200,Facebook,2025-03-31,Reel,30844,13530,951,57,1490,0.5
SOC00041,CAMP01091,CUST00106,YouTube,2025-03-27,Story,178961,13622,2924,973,3878,0.1196
SOC00042,CAMP01691,CUST01535,Instagram,2026-07-11,Text,151063,7257,10423,1977,3461,0.153
SOC00043,CAMP00658,CUST00764,LinkedIn,2025-10-21,Image,16067,10566,5842,1480,4052,0.5
SOC00044,CAMP00845,CUST01381,Facebook,2026-01-17,Text,199680,12682,5936,731,3498,0.1144
SOC00045,CAMP00606,CUST01363,YouTube,2026-02-21,Video,114111,11472,9905,1439,3824,0.2335
