interaction_id,customer_id,agent_id,interaction_datetime,channel,call_reason,duration_minutes,outcome,satisfaction_score
CALL00001,CUST01916,AG004,2026-04-19 15:50:40,Phone,Billing,37,No Response,2
CALL00002,CUST01180,AG005,2026-06-24 11:09:06,Email,Product Query,16,Resolved,4
CALL00003,CUST01562,AG005,2025-05-18 23:31:37,Chat,Complaint,23,No Response,3
CALL00004,CUST00742,AG007,2025-08-06 09:03:19,Email,Billing,22,Follow-up Required,1
CALL00005,CUST01521,AG009,2025-10-28 05:09:00,Email,Technical Support,18,Follow-up Required,4
CALL00006,CUST01787,AG010,2025-10-13 20:02:50,Phone,Cancellation,49,Escalated,5
CALL00007,CUST00847,AG002,2026-03-08 14:24:11,Chat,Product Query,3,No Response,3
CALL00008,CUST01294,AG001,2026-06-29 16:04:56,Chat,Complaint,36,Resolved,1
CALL00009,CUST01561,AG009,2026-06-04 21:28:17,Phone,Cancellation,10,No Response,5
CALL00010,CUST00719,AG008,2026-06-12 12:12:04,Email,Technical Support,30,No Response,1
CALL00011,CUST01308,AG003,2025-07-14 13:45:18,Chat,Cancellation,37,Resolved,2
CALL00012,CUST00979,AG002,2025-01-07 19:50:37,Email,Billing,29,No Response,2
CALL00013,CUST01126,AG002,2025-04-16 08:19:11,Phone,Billing,25,Resolved,3
CALL00014,CUST01053,AG005,2025-04-17 17:01:57,Phone,Complaint,36,Escalated,2
CALL00015,CUST00450,AG003,2026-04-09 16:18:43,Phone,Billing,2,Follow-up Required,5
CALL00016,CUST01969,AG002,2025-09-01 08:35:53,Email,Product Query,55,No Response,2
CALL00017,CUST00631,AG009,2025-08-12 21:07:32,Chat,Billing,22,Follow-up Required,3
CALL00018,CUST01491,AG008,2026-03-24 09:31:38,Chat,Billing,3,Resolved,1
CALL00019,CUST01557,AG006,2025-02-12 20:30:13,Chat,Product Query,22,Resolved,3
CALL00020,CUST01428,AG001,2025-08-17 09:56:00,Email,Billing,22,No Response,2
CALL00021,CUST00416,AG002,2025-08-27 19:45:09,Chat,Product Query,14,No Response,2
CALL00022,CUST01968,AG008,2025-05-03 21:02:40,Email,Product Query,37,No Response,3
CALL00023,CUST01242,AG004,2025-07-13 00:21:08,Phone,Billing,10,Escalated,4
CALL00024,CUST00307,AG005,2026-05-09 20:42:37,Email,Product Query,21,Follow-up Required,5
CALL00025,CUST01215,AG009,2026-02-14 08:24:30,Chat,Product Query,1,No Response,2
CALL00026,CUST00935,AG003,2025-07-23 05:06:36,Email,Product Query,14,Resolved,2
CALL00027,CUST01384,AG010,2026-06-05 07:15:40,Email,Complaint,38,Resolved,2
CALL00028,CUST01924,AG010,2025-03-09 13:49:28,Phone,Billing,17,Escalated,5
CALL00029,CUST00507,AG006,2026-06-09 20:31:39,Email,Product Query,47,Follow-up Required,1
CALL00030,CUST01705,AG003,2026-01-13 14:26:48,Phone,Product Query,31,Resolved,1
