lead_id,customer_id,lead_source,lead_date,lead_status,lead_score,sales_agent
LEAD00001,CUST01586,Social Media,2025-07-20,New,40,Agent C
LEAD00002,CUST01411,Website,2025-03-13,Contacted,83,Agent D
LEAD00003,CUST01631,Social Media,2025-09-13,Converted,46,Agent E
LEAD00004,CUST00237,Social Media,2026-04-27,Lost,96,Agent B
LEAD00005,CUST01741,Referral,2025-12-16,Qualified,61,Agent A
LEAD00006,CUST01096,Advertisement,2026-01-21,Contacted,89,Agent A
LEAD00007,CUST01727,Referral,2026-04-11,Converted,99,Agent C
LEAD00008,CUST01393,Referral,2025-07-21,New,33,Agent C
LEAD00009,CUST01313,Event,2025-01-23,Qualified,27,Agent E
LEAD00010,CUST00065,Referral,2026-06-11,New,84,Agent C
LEAD00011,CUST01384,Social Media,2026-01-01,Lost,24,Agent C
LEAD00012,CUST00898,Email,2025-12-04,New,76,Agent A
LEAD00013,CUST01699,Website,2025-12-08,Qualified,18,Agent A
LEAD00014,CUST01369,Event,2026-05-24,Lost,87,Agent E
LEAD00015,CUST00149,Website,2026-04-04,Converted,69,Agent B
LEAD00016,CUST01780,Website,2026-02-04,Qualified,53,Agent C
LEAD00017,CUST00126,Website,2026-04-12,Converted,45,Agent B
LEAD00018,CUST00599,Website,2025-06-21,New,64,Agent A
LEAD00019,CUST00434,Social Media,2026-03-01,New,39,Agent B
LEAD00020,CUST01949,Advertisement,2026-08-05,Converted,40,Agent B
LEAD00021,CUST00307,Advertisement,2025-05-21,Lost,21,Agent E
LEAD00022,CUST01690,Website,2025-12-07,Converted,16,Agent C
LEAD00023,CUST00445,Advertisement,2026-02-11,Lost,90,Agent C
LEAD00024,CUST01302,Event,2025-11-04,Lost,75,Agent D
LEAD00025,CUST00181,Event,2026-08-01,New,45,Agent B
LEAD00026,CUST00784,Email,2025-08-29,Contacted,84,Agent B
LEAD00027,CUST01247,Social Media,2025-05-10,Lost,61,Agent C
LEAD00028,CUST01423,Referral,2025-03-23,Contacted,60,Agent E
LEAD00029,CUST01745,Event,2026-05-22,Qualified,12,Agent B
LEAD00030,CUST01633,Email,2026-02-13,Contacted,54,Agent B
LEAD00031,CUST01038,Email,2025-12-11,Contacted,11,Agent A
LEAD00032,CUST00607,Referral,2025-09-14,New,69,Agent E
LEAD00033,CUST00523,Advertisement,2025-09-02,Contacted,7,Agent B
LEAD00034,CUST01986,Referral,2026-07-12,Contacted,52,Agent B
LEAD00035,CUST01217,Email,2026-02-10,Converted,37,Agent A
LEAD00036,CUST01818,Referral,2026-07-30,Lost,14,Agent E
LEAD00037,CUST00868,Website,2026-04-23,New,48,Agent C
LEAD00038,CUST00972,Advertisement,2026-04-03,New,21,Agent A
LEAD00039,CUST01652,Event,2025-11-26,Lost,25,Agent C
LEAD00040,CUST01446,Referral,2025-05-25,Converted,89,Agent D
LEAD00041,CUST00402,Website,2026-01-25,New,35,Agent C
LEAD00042,CUST01049,Website,2026-03-03,New,41,Agent D
LEAD00043,CUST00427,Referral,2025-11-08,Qualified,1,Agent B
LEAD00044,CUST01522,Advertisement,2025-01-13,New,31,Agent B
LEAD00045,CUST00060,Referral,2026-07-27,Contacted,36,Agent C
LEAD00046,CUST01654,Website,2026-05-08,New,72,Agent B
LEAD00047,CUST01859,Advertisement,2025-07-29,Contacted,12,Agent B
LEAD00048,CUST00047,Advertisement,2025-10-22,Qualified,93,Agent E
LEAD00049,CUST01261,Referral,2025-03-15,Qualified,13,Agent A
LEAD00050,CUST00159,Event,2026-07-13,Lost,66,Agent C
LEAD00051,CUST00721,Event,2025-08-14,Lost,1,Agent A
LEAD00052,CUST00673,Event,2025-09-13,Converted,82,Agent C
LEAD00053,CUST01040,Referral,2025-06-06,Converted,70,Agent C
LEAD00054,CUST01836,Email,2026-01-14,New,84,Agent C
LEAD00055,CUST00924,Advertisement,2026-08-17,New,94,Agent E
LEAD00056,CUST00797,Email,2026-05-25,Lost,84,Agent C
LEAD00057,CUST00186,Advertisement,2025-11-13,New,63,Agent B
LEAD00058,CUST01776,Website,2025-03-20,Contacted,84,Agent D
LEAD00059,CUST00630,Event,2026-05-30,Contacted,10,Agent E
LEAD00060,CUST00925,Advertisement,2025-06-03,Converted,65,Agent B
LEAD00061,CUST00185,Event,2026-06-27,New,99,Agent B
LEAD00062,CUST00578,Advertisement,2025-08-24,Lost,38,Agent D
LEAD00063,CUST01107,Social Media,2025-11-06,Qualified,98,Agent A
LEAD00064,CUST01802,Advertisement,2025-09-18,Contacted,51,Agent A
LEAD00065,CUST00658,Advertisement,2025-09-29,Converted,47,Agent E
LEAD00066,CUST01122,Event,2025-04-09,New,31,Agent C
LEAD00067,CUST01752,Email,2025-11-26,Converted,11,Agent C
LEAD00068,CUST00721,Event,2025-08-29,Lost,88,Agent A
LEAD00069,CUST00590,Referral,2026-05-21,Qualified,73,Agent E
LEAD00070,CUST00089,Event,2025-10-12,Contacted,41,Agent E
LEAD00071,CUST01816,Advertisement,2026-07-29,Qualified,97,Agent E
LEAD00072,CUST00222,Website,2025-06-26,Qualified,19,Agent B
LEAD00073,CUST00431,Referral,2025-07-15,Contacted,78,Agent B
LEAD00074,CUST00279,Social Media,2025-01-22,New,46,Agent D
LEAD00075,CUST01416,Social Media,2026-03-17,Contacted,63,Agent E
LEAD00076,CUST00730,Event,2025-02-13,Contacted,4,Agent C
LEAD00077,CUST01410,Social Media,2025-06-20,Lost,62,Agent E
LEAD00078,CUST01215,Event,2026-06-27,Contacted,68,Agent C
LEAD00079,CUST00031,Website,2025-12-31,New,98,Agent A
LEAD00080,CUST00616,Referral,2025-11-30,New,35,Agent D
LEAD00081,CUST00009,Email,2026-04-25,Contacted,8,Agent D
LEAD00082,CUST00132,Social Media,2026-04-05,Lost,7,Agent C
LEAD00083,CUST00947,Email,2026-06-13,New,15,Agent B
LEAD00084,CUST00530,Event,2026-02-01,New,30,Agent B
LEAD00085,CUST00179,Referral,2025-09-25,Qualified,84,Agent E
LEAD00086,CUST00818,Social Media,2025-03-19,Lost,20,Agent A
LEAD00087,CUST00904,Advertisement,2025-08-09,Qualified,15,Agent E
LEAD00088,CUST01985,Advertisement,2026-02-25,Qualified,4,Agent A
LEAD00089,CUST01324,Website,2025-06-01,New,39,Agent E
LEAD00090,CUST00786,Email,2026-02-04,Converted,61,Agent D
LEAD00091,CUST00947,Social Media,2025-03-21,Converted,29,Agent B
LEAD00092,CUST00179,Website,2025-02-06,Contacted,50,Agent D
