campaign_id,company,campaign_type,target_audience,duration_days,channel_used,conversion_rate,acquisition_cost,roi,location
CAMP00001,Beta Ltd,Social Media,36-45,44,LinkedIn,0.0781,5129.7,8.87,Australia
CAMP00002,Delta Solutions,Search,26-35,32,Instagram,0.1027,22059.35,0.87,Germany
CAMP00003,Gamma Inc,Social Media,26-35,9,LinkedIn,0.1969,11784.03,4.69,UK
CAMP00004,Alpha Corp,Email,36-45,58,LinkedIn,0.011,2454.02,8.34,Australia
CAMP00005,Beta Ltd,Search,46-60,22,LinkedIn,0.2536,7902.4,2.19,India
CAMP00006,Beta Ltd,Display,26-35,46,LinkedIn,0.0649,4946.87,6.35,Germany
CAMP00007,Delta Solutions,Search,36-45,66,Google,0.3266,23511.51,1.16,India
CAMP00008,Delta Solutions,Display,36-45,13,LinkedIn,0.3026,6455.02,0.6,Germany
CAMP00009,Delta Solutions,Social Media,36-45,63,YouTube,0.2219,12906.72,3.53,UK
CAMP00010,Gamma Inc,Social Media,18-25,37,Facebook,0.313,18765.3,8.15,UK
CAMP00011,Beta Ltd,Search,46-60,48,Email,0.3457,4383.52,0.89,UK
CAMP00012,Beta Ltd,Search,46-60,11,YouTube,0.2735,11218.45,3.97,Australia
CAMP00013,Beta Ltd,Search,46-60,47,Instagram,0.2231,16505.39,7.42,USA
CAMP00014,Gamma Inc,Search,46-60,37,YouTube,0.1628,22107.87,4.01,USA
CAMP00015,Beta Ltd,Display,26-35,20,Email,0.2866,16525.53,5.05,India
CAMP00016,Gamma Inc,Influencer,46-60,50,YouTube,0.2495,2462.05,5.25,UK
CAMP00017,Alpha Corp,Social Media,46-60,60,Google,0.1707,8378.26,9.13,Australia
CAMP00018,Gamma Inc,Email,18-25,38,YouTube,0.18,9097.84,8.82,Germany
CAMP00019,Beta Ltd,Display,36-45,59,Instagram,0.0878,10012.7,1.1,USA
CAMP00020,Gamma Inc,Influencer,18-25,34,Google,0.2781,23569.65,7.08,Germany
CAMP00021,Beta Ltd,Influencer,26-35,76,YouTube,0.3086,1374.73,5.66,India
CAMP00022,Alpha Corp,Search,18-25,29,Instagram,0.0156,7903.25,3.87,USA
CAMP00023,Beta Ltd,Search,46-60,73,LinkedIn,0.048,12565.17,5.18,UK
CAMP00024,Beta Ltd,Social Media,46-60,37,Google,0.347,2616.7,8.86,UK
CAMP00025,Alpha Corp,Email,36-45,52,Google,0.0706,12346.68,7.84,UK
CAMP00026,Gamma Inc,Search,26-35,10,Email,0.2604,3124.66,5.9,UK
CAMP00027,Beta Ltd,Display,46-60,11,Google,0.1735,21025.66,2.17,USA
CAMP00028,Gamma Inc,Social Media,46-60,90,Email,0.1873,7117.07,6.38,Germany
CAMP00029,Gamma Inc,Social Media,36-45,5,Google,0.0468,13313.77,5.23,Germany
CAMP00030,Alpha Corp,Search,46-60,52,Facebook,0.0569,15648.79,4.75,USA
CAMP00031,Beta Ltd,Social Media,18-25,44,Facebook,0.2065,7990.28,9.47,UK
CAMP00032,Delta Solutions,Email,18-25,59,Instagram,0.1384,9107.21,9.93,USA
CAMP00033,Gamma Inc,Social Media,36-45,5,Google,0.2811,13007.64,9.54,India
CAMP00034,Gamma Inc,Influencer,36-45,20,LinkedIn,0.3405,20233.15,7.52,Australia
CAMP00035,Alpha Corp,Search,26-35,34,LinkedIn,0.2862,11590.95,6.19,Germany
CAMP00036,Alpha Corp,Search,46-60,84,Email,0.148,12526.95,3.53,Germany
CAMP00037,Alpha Corp,Social Media,18-25,35,YouTube,0.1739,15098.69,9.5,Australia
CAMP00038,Beta Ltd,Search,36-45,54,YouTube,0.0633,10917.68,4.83,Germany
CAMP00039,Delta Solutions,Social Media,46-60,54,Facebook,0.2465,18288.92,2.42,India
CAMP00040,Beta Ltd,Influencer,26-35,40,Google,0.1621,620.24,1.55,Germany
CAMP00041,Delta Solutions,Search,36-45,76,YouTube,0.3015,12333.98,8.44,Australia
CAMP00042,Beta Ltd,Social Media,36-45,66,Instagram,0.2317,23113.9,3.62,Australia
CAMP00043,Delta Solutions,Social Media,26-35,43,YouTube,0.068,15589.64,7.78,India
CAMP00044,Delta Solutions,Email,26-35,31,LinkedIn,0.1497,12416.79,6.46,Australia
CAMP00045,Beta Ltd,Search,46-60,28,Facebook,0.2402,19414.61,3.19,Germany
CAMP00046,Alpha Corp,Influencer,46-60,85,Facebook,0.3017,10128.52,8.58,UK
CAMP00047,Alpha Corp,Influencer,46-60,15,Email,0.1293,11947.52,8.53,Germany
CAMP00048,Gamma Inc,Influencer,18-25,19,Email,0.2376,5281.41,2.13,Australia
CAMP00049,Delta Solutions,Email,36-45,27,LinkedIn,0.069,3543.0,1.66,India
CAMP00050,Alpha Corp,Display,36-45,76,LinkedIn,0.3176,1125.31,6.2,UK
CAMP00051,Beta Ltd,Influencer,26-35,64,Google,0.2056,18421.97,2.72,India
CAMP00052,Gamma Inc,Search,46-60,88,Email,0.2713,11970.66,3.66,Germany
CAMP00053,Gamma Inc,Email,36-45,67,Email,0.1449,23514.15,9.4,India
CAMP00054,Alpha Corp,Social Media,36-45,47,YouTube,0.3298,4831.99,2.17,USA
CAMP00055,Gamma Inc,Influencer,46-60,8,LinkedIn,0.2548,6477.59,4.97,USA
CAMP00056,Gamma Inc,Display,26-35,80,LinkedIn,0.0622,16148.79,3.3,Germany
CAMP00057,Alpha Corp,Email,36-45,62,LinkedIn,0.1971,1837.64,3.81,Germany
CAMP00058,Beta Ltd,Social Media,46-60,11,Instagram,0.1024,12833.62,4.02,UK
CAMP00059,Alpha Corp,Search,36-45,88,Email,0.2933,3527.75,2.97,Germany
CAMP00060,Delta Solutions,Social Media,18-25,58,Instagram,0.2762,4454.24,7.75,UK
CAMP00061,Gamma Inc,Search,18-25,58,Email,0.1781,13046.45,8.21,India
