app_event_id,customer_id,event_datetime,device_type,app_version,event_type,session_duration_minutes,app_source
APP00001,CUST01855,2026-02-18 22:08:48,Android,6.029999999999999,Logout,104,App Store
APP00002,CUST00904,2025-01-25 21:46:40,iOS,5.125499999999999,Add to Cart,11,Website
APP00003,CUST01797,2025-04-23 04:39:28,Android,6.017999999999999,Add to Cart,79,Play Store
APP00004,CUST01557,2025-01-03 03:10:45,Android,5.1153,View Product,65,QR Campaign
APP00005,CUST01049,2026-06-13 20:54:13,Android,5.2052,Add to Cart,9,Play Store
APP00006,CUST00957,2026-05-02 02:14:11,iOS,5.2052,Logout,1,QR Campaign
APP00007,CUST00554,2025-07-26 12:54:15,iOS,5.215599999999999,Purchase,2,QR Campaign
APP00008,CUST01172,2025-08-04 15:08:20,iOS,5.326499999999999,Login,89,Play Store
APP00009,CUST00590,2025-07-06 14:47:45,Android,5.2052,Search,116,QR Campaign
APP00010,CUST00956,2025-03-11 08:20:46,iOS,6.0120000000000005,Search,107,App Store
APP00011,CUST00474,2025-06-30 10:20:57,iOS,5.1153,View Product,3,Website
APP00012,CUST00452,2026-04-25 08:27:53,iOS,5.215599999999999,Search,107,Play Store
APP00013,CUST01817,2025-03-07 11:41:41,iOS,5.2208000000000006,Login,75,Play Store
APP00014,CUST01743,2025-03-01 11:00:42,Android,5.331799999999999,View Product,39,QR Campaign
APP00015,CUST01150,2025-05-21 03:10:45,Android,6.017999999999999,Purchase,25,Play Store
APP00016,CUST01328,2025-11-29 06:40:14,Android,5.1204,Add to Cart,74,Website
APP00017,CUST00003,2026-06-23 06:40:21,Android,6.0120000000000005,Login,21,QR Campaign
APP00018,CUST01487,2026-01-21 18:07:23,iOS,5.3212,Purchase,90,App Store
APP00019,CUST01923,2025-07-10 04:49:01,Android,6.0,View Product,25,App Store
APP00020,CUST01899,2026-06-22 09:43:26,Android,5.2208000000000006,Purchase,77,Website
APP00021,CUST00105,2025-10-19 04:04:43,Android,6.017999999999999,Purchase,114,App Store
APP00022,CUST01385,2025-09-16 05:06:17,Android,5.2,View Product,2,Website
APP00023,CUST00953,2026-07-25 20:13:03,iOS,5.2312,Login,19,Website
APP00024,CUST00130,2026-02-09 17:33:14,Android,5.2,Add to Cart,63,App Store
APP00025,CUST01578,2025-12-02 11:04:48,Android,6.005999999999999,Purchase,70,App Store
APP00026,CUST01259,2025-01-09 17:11:57,iOS,5.2208000000000006,Search,62,QR Campaign
APP00027,CUST00522,2025-05-22 05:34:39,iOS,6.0,Search,21,Website
APP00028,CUST01011,2025-11-06 21:52:05,iOS,5.1,Purchase,98,App Store
APP00029,CUST00703,2025-12-24 12:41:36,Android,5.1153,Logout,40,Play Store
APP00030,CUST00444,2025-09-22 09:17:29,iOS,5.215599999999999,Search,97,App Store
APP00031,CUST00856,2025-09-26 21:19:28,Android,5.1102,Login,108,Website
APP00032,CUST01187,2025-06-27 02:56:33,Android,5.2104,View Product,80,Play Store
APP00033,CUST00102,2025-01-04 02:50:50,iOS,5.3,Add to Cart,98,Website
APP00034,CUST01347,2026-07-03 03:29:38,iOS,5.331799999999999,Logout,19,Website
APP00035,CUST00983,2025-03-12 05:11:55,iOS,5.1153,Add to Cart,33,Website
APP00036,CUST01119,2026-01-28 21:05:10,Android,5.226,Login,68,App Store
APP00037,CUST00290,2026-01-27 10:07:45,iOS,6.036,View Product,51,QR Campaign
APP00038,CUST00307,2025-12-03 23:48:09,Android,5.130599999999999,Search,107,QR Campaign
APP00039,CUST01080,2026-02-13 07:05:33,Android,5.326499999999999,Search,115,Play Store
APP00040,CUST01271,2025-03-20 03:48:53,Android,6.0120000000000005,Logout,20,QR Campaign
APP00041,CUST01267,2025-08-06 19:29:57,Android,6.029999999999999,View Product,115,Website
APP00042,CUST00050,2026-02-10 16:47:05,Android,5.2104,Logout,103,QR Campaign
APP00043,CUST00948,2025-12-13 00:37:29,iOS,5.305299999999999,Search,34,Play Store
APP00044,CUST00319,2025-09-30 13:06:19,iOS,6.036,Search,10,App Store
APP00045,CUST01097,2025-05-25 09:19:01,iOS,5.125499999999999,Purchase,46,QR Campaign
APP00046,CUST01597,2026-02-22 11:40:14,Android,5.3106,Add to Cart,116,Website
APP00047,CUST01919,2025-01-09 22:19:54,iOS,6.036,Logout,3,App Store
APP00048,CUST00980,2026-03-15 20:48:18,iOS,6.0,Search,116,QR Campaign
APP00049,CUST00992,2026-04-28 16:41:38,Android,5.226,Logout,28,Play Store
APP00050,CUST01182,2026-05-06 19:34:47,iOS,5.1102,View Product,119,Website
APP00051,CUST00109,2025-11-16 11:10:14,Android,5.226,View Product,67,Play Store
APP00052,CUST00679,2025-09-23 09:13:46,Android,5.326499999999999,Add to Cart,41,Website
APP00053,CUST00629,2025-04-16 21:10:32,iOS,5.3,Logout,79,App Store
APP00054,CUST01133,2026-06-07 14:16:48,Android,6.017999999999999,Purchase,103,QR Campaign
APP00055,CUST00313,2026-03-05 05:27:41,Android,6.017999999999999,View Product,40,QR Campaign
APP00056,CUST00076,2025-08-06 18:30:58,Android,5.130599999999999,Purchase,42,Play Store
APP00057,CUST00682,2025-08-07 09:49:47,Android,5.2208000000000006,Purchase,82,QR Campaign
APP00058,CUST00048,2026-01-31 08:24:21,iOS,6.036,Search,13,Play Store
APP00059,CUST01409,2025-05-04 21:39:31,Android,5.305299999999999,Logout,84,Website
APP00060,CUST01808,2025-08-02 13:22:28,Android,6.029999999999999,Login,52,QR Campaign
APP00061,CUST01371,2025-12-31 13:20:01,Android,6.0,Purchase,34,Website
APP00062,CUST00573,2026-06-16 22:31:04,iOS,5.3,Add to Cart,97,Website
APP00063,CUST01413,2026-06-17 08:23:32,iOS,5.130599999999999,Search,75,Play Store
APP00064,CUST01608,2025-09-10 16:58:59,iOS,5.331799999999999,View Product,3,App Store
APP00065,CUST01788,2025-11-18 01:23:17,iOS,5.105099999999999,Logout,115,QR Campaign
APP00066,CUST01033,2025-05-06 03:29:19,iOS,5.305299999999999,Purchase,53,App Store
APP00067,CUST00807,2025-04-11 02:46:19,Android,5.1153,Purchase,1,App Store
APP00068,CUST00151,2026-08-10 08:09:24,Android,5.331799999999999,View Product,73,QR Campaign
APP00069,CUST00917,2025-01-20 17:39:11,iOS,5.305299999999999,View Product,42,App Store
APP00070,CUST00126,2025-06-29 09:39:07,iOS,6.017999999999999,View Product,98,Website
APP00071,CUST00765,2026-01-10 03:34:42,Android,5.2052,Logout,82,Website
APP00072,CUST00125,2026-06-26 15:34:22,iOS,5.315899999999999,Logout,30,QR Campaign
APP00073,CUST00752,2026-03-23 04:29:23,Android,5.125499999999999,Purchase,106,Play Store
APP00074,CUST01005,2026-05-16 05:15:46,iOS,5.326499999999999,Search,14,Play Store
APP00075,CUST00676,2025-01-15 05:45:52,Android,5.2208000000000006,View Product,42,Play Store
APP00076,CUST00668,2025-11-17 09:47:40,iOS,5.3,Add to Cart,25,Play Store
APP00077,CUST01476,2025-08-18 17:19:50,iOS,5.215599999999999,Purchase,28,Website
APP00078,CUST01956,2025-06-19 15:50:50,iOS,6.0120000000000005,Search,74,App Store
APP00079,CUST00522,2025-12-01 10:44:08,Android,5.326499999999999,Logout,97,Play Store
APP00080,CUST00216,2025-02-11 09:13:04,Android,6.017999999999999,View Product,75,Play Store
APP00081,CUST00071,2025-06-22 19:17:35,Android,5.2312,View Product,5,QR Campaign
APP00082,CUST00794,2025-05-31 21:25:35,iOS,5.2312,Search,44,Play Store
APP00083,CUST00993,2025-07-26 02:35:08,Android,5.331799999999999,Add to Cart,69,App Store
APP00084,CUST00028,2026-06-13 19:40:35,Android,5.125499999999999,Purchase,63,QR Campaign
APP00085,CUST00999,2026-01-10 13:17:53,iOS,5.105099999999999,Logout,59,App Store
APP00086,CUST01228,2025-06-18 21:46:03,iOS,5.1153,Login,45,QR Campaign
APP00087,CUST00927,2026-05-28 07:38:42,iOS,5.1102,Login,16,QR Campaign
APP00088,CUST00189,2025-05-20 00:50:25,iOS,5.1153,Search,11,Play Store
APP00089,CUST00907,2026-07-24 17:02:26,iOS,5.1102,Add to Cart,1,QR Campaign
APP00090,CUST01362,2025-02-03 23:24:28,iOS,6.0120000000000005,Logout,11,QR Campaign
APP00091,CUST00983,2026-06-22 05:15:11,Android,5.3212,Purchase,91,Play Store
APP00092,CUST01438,2025-11-05 10:13:40,iOS,5.1153,Purchase,61,App Store
APP00093,CUST01898,2025-05-23 08:48:50,iOS,5.305299999999999,Login,100,Play Store
APP00094,CUST01973,2025-11-21 17:01:43,Android,6.036,Logout,112,QR Campaign
APP00095,CUST00499,2026-04-18 12:41:49,Android,5.105099999999999,Purchase,4,Play Store
APP00096,CUST00443,2026-02-14 22:40:41,iOS,5.3,Purchase,53,Website
APP00097,CUST00363,2026-08-12 08:38:11,Android,5.326499999999999,Add to Cart,38,Website
APP00098,CUST01313,2026-06-01 20:16:00,Android,5.125499999999999,Logout,63,App Store
APP00099,CUST01194,2025-06-08 22:09:58,iOS,5.1102,Search,84,Play Store
APP00100,CUST00612,2025-03-04 14:12:34,iOS,5.2104,Logout,98,Website
