opportunity_id,lead_id,customer_id,product,opportunity_stage,opportunity_value,probability,created_date,sales_agent
OPP00001,LEAD00884,CUST01429,Support Package,Won,36992.64,70,2026-06-10,Agent E
OPP00002,LEAD01584,CUST01403,Support Package,Lost,204641.55,63,2025-11-15,Agent D
OPP00003,LEAD00307,CUST00706,AI Platform,Negotiation,180354.0,62,2025-09-22,Agent E
OPP00004,LEAD00349,CUST00854,CRM License,Lost,195794.19,36,2025-02-04,Agent A
OPP00005,LEAD00610,CUST00880,AI Platform,Prospecting,64884.73,93,2025-10-12,Agent A
OPP00006,LEAD00965,CUST01205,Cloud Subscription,Won,153146.86,12,2025-10-29,Agent D
OPP00007,LEAD01630,CUST01437,CRM License,Proposal,189207.47,88,2026-01-13,Agent C
OPP00008,LEAD00422,CUST00398,AI Platform,Won,97084.94,88,2025-11-08,Agent C
OPP00009,LEAD01573,CUST00455,Analytics Suite,Won,62670.75,30,2025-05-09,Agent D
OPP00010,LEAD01816,CUST00097,AI Platform,Negotiation,74577.41,54,2026-08-01,Agent C
OPP00011,LEAD00871,CUST01053,Cloud Subscription,Won,258824.83,89,2025-05-10,Agent D
OPP00012,LEAD01923,CUST01338,Analytics Suite,Prospecting,144717.62,50,2025-08-17,Agent B
OPP00013,LEAD01788,CUST00421,AI Platform,Qualification,201711.28,33,2025-10-31,Agent C
OPP00014,LEAD01595,CUST01424,Cloud Subscription,Proposal,159317.77,11,2025-06-24,Agent C
OPP00015,LEAD00761,CUST00007,Cloud Subscription,Prospecting,251896.9,47,2025-02-10,Agent D
OPP00016,LEAD00602,CUST01733,CRM License,Proposal,157463.51,31,2025-12-31,Agent A
OPP00017,LEAD01729,CUST01381,Laptop,Proposal,37064.34,86,2025-05-22,Agent B
OPP00018,LEAD00884,CUST01367,CRM License,Proposal,67415.56,87,2026-06-08,Agent C
OPP00019,LEAD00064,CUST01415,Analytics Suite,Qualification,13846.97,36,2026-04-18,Agent E
OPP00020,LEAD01435,CUST00718,Analytics Suite,Prospecting,251142.04,25,2025-09-13,Agent C
OPP00021,LEAD00695,CUST01992,Laptop,Qualification,202349.12,32,2025-10-04,Agent C
OPP00022,LEAD01872,CUST01494,Support Package,Lost,230168.56,43,2026-07-21,Agent A
OPP00023,LEAD01711,CUST00363,Analytics Suite,Prospecting,217355.87,69,2025-01-16,Agent A
OPP00024,LEAD00209,CUST01845,Cloud Subscription,Qualification,249099.11,19,2025-08-14,Agent B
OPP00025,LEAD01803,CUST01480,AI Platform,Negotiation,296221.16,100,2025-02-06,Agent E
OPP00026,LEAD01900,CUST00622,Laptop,Proposal,199506.69,72,2025-03-24,Agent B
OPP00027,LEAD01513,CUST01896,AI Platform,Lost,83157.02,17,2026-07-03,Agent E
OPP00028,LEAD00551,CUST00497,Laptop,Prospecting,39403.11,35,2025-03-02,Agent C
OPP00029,LEAD01340,CUST01290,Cloud Subscription,Negotiation,181026.9,72,2026-07-25,Agent E
OPP00030,LEAD01737,CUST01341,Cloud Subscription,Lost,233519.55,53,2026-04-13,Agent C
OPP00031,LEAD01632,CUST01927,AI Platform,Prospecting,172855.8,55,2026-01-18,Agent B
OPP00032,LEAD00863,CUST01141,Cloud Subscription,Won,98030.88,8,2026-03-19,Agent B
OPP00033,LEAD01416,CUST01989,AI Platform,Prospecting,218723.11,44,2025-04-21,Agent D
OPP00034,LEAD00772,CUST00569,AI Platform,Qualification,139912.02,63,2025-03-11,Agent E
OPP00035,LEAD00509,CUST01604,CRM License,Qualification,93110.84,76,2025-08-08,Agent D
OPP00036,LEAD01346,CUST00491,AI Platform,Won,253914.5,47,2026-04-01,Agent E
OPP00037,LEAD00933,CUST01999,Support Package,Lost,177190.45,58,2025-07-02,Agent C
OPP00038,LEAD00450,CUST01528,AI Platform,Negotiation,92199.92,26,2025-04-15,Agent D
OPP00039,LEAD01322,CUST01252,Analytics Suite,Qualification,105295.26,81,2026-04-13,Agent E
OPP00040,LEAD00644,CUST00133,Analytics Suite,Won,175782.88,71,2026-01-13,Agent D
OPP00041,LEAD01176,CUST00995,CRM License,Qualification,132647.84,76,2025-11-17,Agent D
OPP00042,LEAD00723,CUST00289,CRM License,Negotiation,56550.54,69,2025-09-03,Agent A
OPP00043,LEAD01771,CUST01836,Cloud Subscription,Lost,187036.28,99,2026-04-10,Agent D
OPP00044,LEAD01702,CUST00759,Laptop,Negotiation,209841.92,89,2026-03-14,Agent D
OPP00045,LEAD00948,CUST01662,AI Platform,Prospecting,10031.55,82,2025-08-03,Agent C
OPP00046,LEAD01421,CUST01813,CRM License,Proposal,165692.1,37,2025-03-19,Agent E
OPP00047,LEAD00356,CUST00221,Analytics Suite,Lost,177376.83,11,2026-06-03,Agent D
OPP00048,LEAD01995,CUST01519,Support Package,Prospecting,106298.58,5,2025-03-23,Agent C
OPP00049,LEAD00430,CUST00606,Analytics Suite,Prospecting,108232.07,79,2025-09-13,Agent C
OPP00050,LEAD01734,CUST00218,Laptop,Proposal,102121.08,91,2026-06-18,Agent D
OPP00051,LEAD01693,CUST00522,Laptop,Proposal,139145.14,67,2025-09-06,Agent D
OPP00052,LEAD00357,CUST01100,Laptop,Prospecting,245462.56,74,2026-05-11,Agent A
OPP00053,LEAD00018,CUST01711,Cloud Subscription,Won,146017.56,13,2025-10-19,Agent C
OPP00054,LEAD01475,CUST01384,AI Platform,Lost,298158.12,59,2026-03-21,Agent B
OPP00055,LEAD01739,CUST00467,CRM License,Qualification,119086.02,63,2025-12-19,Agent A
OPP00056,LEAD01433,CUST00592,AI Platform,Qualification,212786.05,20,2025-06-16,Agent A
OPP00057,LEAD00112,CUST00609,AI Platform,Qualification,169200.04,77,2026-06-17,Agent C
OPP00058,LEAD01291,CUST01473,Cloud Subscription,Proposal,231063.7,37,2025-10-06,Agent B
OPP00059,LEAD00784,CUST01038,AI Platform,Prospecting,267625.73,23,2025-09-30,Agent C
OPP00060,LEAD01832,CUST00048,Cloud Subscription,Qualification,158388.16,71,2026-01-28,Agent E
OPP00061,LEAD01601,CUST00153,Cloud Subscription,Qualification,153398.97,46,2026-07-09,Agent A
OPP00062,LEAD01598,CUST00152,Laptop,Prospecting,283388.52,56,2026-06-04,Agent C
OPP00063,LEAD00816,CUST01923,Laptop,Won,280761.28,57,2025-08-23,Agent D
OPP00064,LEAD00645,CUST01010,CRM License,Negotiation,299129.05,64,2025-05-18,Agent E
