deal_id,opportunity_id,customer_id,product,deal_stage,engage_date,close_date,close_value,sales_agent
DEAL00001,OPP01631,CUST01186,Laptop,Proposal,2025-05-11,2025-10-29,232228.0,Agent A
DEAL00002,OPP01379,CUST00828,Cloud Subscription,Won,2026-01-21,2026-09-01,82395.77,Agent C
DEAL00003,OPP00484,CUST01280,AI Platform,Proposal,2025-02-03,2025-06-29,71078.74,Agent C
DEAL00004,OPP00332,CUST01869,Analytics Suite,Won,2026-08-14,2026-12-10,342491.4,Agent C
DEAL00005,OPP01237,CUST00053,Laptop,Proposal,2026-07-16,2026-12-26,48654.09,Agent D
DEAL00006,OPP00011,CUST01803,AI Platform,Lost,2026-04-27,2026-11-04,349798.92,Agent E
DEAL00007,OPP00303,CUST00737,Laptop,Lost,2026-08-01,2027-01-01,254792.1,Agent E
DEAL00008,OPP00879,CUST01657,AI Platform,Lost,2025-05-17,2025-08-06,223969.56,Agent C
DEAL00009,OPP01982,CUST00216,AI Platform,Proposal,2026-06-10,2027-01-10,125526.39,Agent A
DEAL00010,OPP00153,CUST01783,Support Package,Qualification,2025-06-03,2025-11-20,305053.05,Agent A
DEAL00011,OPP01058,CUST00897,Support Package,Lost,2025-03-14,2025-10-11,319420.95,Agent B
DEAL00012,OPP01125,CUST01834,Analytics Suite,Prospecting,2025-06-06,2025-10-20,255440.56,Agent D
DEAL00013,OPP00504,CUST00856,Cloud Subscription,Negotiation,2026-04-07,2026-07-27,251362.12,Agent E
DEAL00014,OPP01041,CUST01493,Laptop,Negotiation,2026-07-17,2027-02-05,177672.58,Agent B
DEAL00015,OPP01269,CUST01193,Analytics Suite,Qualification,2025-12-31,2026-05-29,36463.85,Agent B
DEAL00016,OPP00275,CUST00401,AI Platform,Prospecting,2025-05-27,2025-11-30,349669.87,Agent A
DEAL00017,OPP01909,CUST00499,Cloud Subscription,Prospecting,2025-12-25,2026-07-27,15288.83,Agent C
DEAL00018,OPP00492,CUST01078,Analytics Suite,Prospecting,2025-10-31,2026-01-12,178435.12,Agent B
DEAL00019,OPP00738,CUST00974,Laptop,Won,2025-11-05,2025-12-26,134825.67,Agent B
DEAL00020,OPP00049,CUST01232,CRM License,Prospecting,2025-07-28,2025-09-07,273885.0,Agent B
DEAL00021,OPP01188,CUST01614,Support Package,Qualification,2025-03-24,2025-08-17,260165.32,Agent B
DEAL00022,OPP01188,CUST01547,Laptop,Prospecting,2025-08-04,2026-02-15,223536.9,Agent D
DEAL00023,OPP00233,CUST00118,CRM License,Won,2026-06-15,2027-02-04,35411.1,Agent B
DEAL00024,OPP00586,CUST00991,AI Platform,Prospecting,2025-09-01,2025-09-15,90528.81,Agent A
DEAL00025,OPP01534,CUST00297,Analytics Suite,Proposal,2025-01-13,2025-01-20,42013.87,Agent A
DEAL00026,OPP01426,CUST01026,Analytics Suite,Won,2025-07-25,2026-01-06,342851.96,Agent B
DEAL00027,OPP00615,CUST01072,Cloud Subscription,Qualification,2025-10-02,2025-12-10,53446.18,Agent E
DEAL00028,OPP01260,CUST01992,CRM License,Prospecting,2025-12-24,2026-04-20,338845.53,Agent B
DEAL00029,OPP01495,CUST00777,Laptop,Qualification,2026-01-18,2026-02-12,48322.14,Agent E
DEAL00030,OPP00748,CUST00905,AI Platform,Lost,2025-09-11,2025-10-05,303158.32,Agent C
DEAL00031,OPP00352,CUST01023,Laptop,Negotiation,2025-03-27,2025-08-04,205374.26,Agent C
DEAL00032,OPP00044,CUST00261,AI Platform,Prospecting,2025-09-20,2026-03-06,292786.72,Agent B
DEAL00033,OPP01910,CUST00120,Cloud Subscription,Negotiation,2025-01-02,2025-08-03,225571.55,Agent E
DEAL00034,OPP00641,CUST01420,Analytics Suite,Negotiation,2025-10-29,2026-02-25,271404.64,Agent A
DEAL00035,OPP01613,CUST00602,Cloud Subscription,Won,2025-09-23,2026-02-27,258475.94,Agent A
DEAL00036,OPP00650,CUST00726,Laptop,Proposal,2025-08-01,2026-02-24,98463.57,Agent B
DEAL00037,OPP01425,CUST01985,CRM License,Qualification,2026-01-30,2026-05-17,327916.42,Agent A
DEAL00038,OPP00666,CUST00498,CRM License,Qualification,2026-03-26,2026-05-20,228839.68,Agent C
DEAL00039,OPP01215,CUST01809,CRM License,Prospecting,2025-06-07,2025-12-23,78708.6,Agent E
DEAL00040,OPP01907,CUST01257,Cloud Subscription,Prospecting,2025-10-28,2025-11-04,114054.29,Agent E
DEAL00041,OPP01508,CUST00531,Support Package,Proposal,2025-10-31,2026-01-10,191237.34,Agent D
DEAL00042,OPP00330,CUST01909,AI Platform,Negotiation,2025-10-31,2025-12-07,309821.09,Agent D
DEAL00043,OPP01048,CUST01245,CRM License,Won,2025-08-29,2026-02-01,280896.06,Agent E
DEAL00044,OPP00541,CUST00626,CRM License,Won,2025-05-06,2025-07-14,112696.32,Agent E
DEAL00045,OPP00439,CUST00903,CRM License,Lost,2025-04-13,2025-07-09,244085.35,Agent D
DEAL00046,OPP01665,CUST00745,Analytics Suite,Lost,2025-01-19,2025-06-26,10563.32,Agent E
DEAL00047,OPP01966,CUST01691,CRM License,Negotiation,2025-02-01,2025-04-18,123097.96,Agent C
DEAL00048,OPP01851,CUST00931,Laptop,Prospecting,2026-04-28,2026-07-28,295462.38,Agent E
DEAL00049,OPP01679,CUST00074,AI Platform,Qualification,2025-02-11,2025-06-14,61408.41,Agent D
DEAL00050,OPP00937,CUST01376,Support Package,Proposal,2026-05-25,2026-06-28,130154.39,Agent E
DEAL00051,OPP01053,CUST01514,CRM License,Proposal,2026-06-19,2027-01-29,10354.73,Agent B
DEAL00052,OPP01081,CUST00792,Analytics Suite,Negotiation,2025-05-24,2026-01-14,17865.13,Agent A
DEAL00053,OPP01473,CUST01844,CRM License,Lost,2025-09-22,2026-03-14,59646.46,Agent B
DEAL00054,OPP00106,CUST00851,CRM License,Prospecting,2025-08-03,2025-09-04,44633.44,Agent D
DEAL00055,OPP01654,CUST00529,Cloud Subscription,Qualification,2025-08-23,2025-12-18,176507.98,Agent C
DEAL00056,OPP01617,CUST01402,AI Platform,Won,2025-08-02,2025-10-30,316001.48,Agent D
DEAL00057,OPP01991,CUST00256,Support Package,Lost,2025-07-24,2025-09-07,38778.18,Agent A
DEAL00058,OPP01190,CUST01971,Laptop,Won,2026-02-12,2026-09-11,305744.54,Agent D
DEAL00059,OPP00915,CUST01367,AI Platform,Qualification,2025-09-03,2025-12-15,237173.67,Agent E
DEAL00060,OPP00959,CUST00634,CRM License,Lost,2025-04-22,2025-09-28,67424.26,Agent A
DEAL00061,OPP01241,CUST00164,Support Package,Prospecting,2025-08-14,2026-01-29,108510.41,Agent D
DEAL00062,OPP00606,CUST01171,Laptop,Proposal,2026-08-07,2026-10-27,76022.38,Agent E
DEAL00063,OPP01554,CUST01174,Cloud Subscription,Proposal,2026-08-12,2026-11-08,278361.48,Agent C
DEAL00064,OPP00888,CUST01589,AI Platform,Proposal,2025-02-06,2025-09-27,256534.12,Agent D
DEAL00065,OPP00564,CUST00568,Analytics Suite,Won,2025-12-10,2026-06-27,113499.18,Agent B
DEAL00066,OPP01471,CUST00425,AI Platform,Qualification,2026-08-04,2026-12-05,28473.67,Agent A
DEAL00067,OPP00674,CUST00826,CRM License,Negotiation,2025-04-26,2025-09-04,67371.86,Agent C
DEAL00068,OPP00162,CUST01637,Cloud Subscription,Negotiation,2025-02-10,2025-02-18,224157.96,Agent E
DEAL00069,OPP01045,CUST01817,Laptop,Negotiation,2025-05-07,2025-06-30,40726.75,Agent E
DEAL00070,OPP01014,CUST00710,Cloud Subscription,Negotiation,2025-07-09,2025-07-17,192398.27,Agent D
DEAL00071,OPP00583,CUST00096,Support Package,Proposal,2026-07-12,2027-01-22,218395.86,Agent A
DEAL00072,OPP00070,CUST00223,AI Platform,Prospecting,2025-05-30,2026-01-11,243836.23,Agent D
DEAL00073,OPP00952,CUST01089,AI Platform,Qualification,2025-07-17,2025-08-30,52620.95,Agent B
DEAL00074,OPP01545,CUST00050,Support Package,Negotiation,2025-06-04,2025-08-15,166300.0,Agent B
DEAL00075,OPP01603,CUST01448,Cloud Subscription,Won,2025-08-22,2025-11-19,167554.85,Agent B
DEAL00076,OPP00423,CUST00067,Analytics Suite,Qualification,2026-08-16,2027-02-28,293996.08,Agent B
DEAL00077,OPP00861,CUST00848,Support Package,Negotiation,2025-02-19,2025-05-31,169363.78,Agent A
DEAL00078,OPP01807,CUST01596,Cloud Subscription,Qualification,2025-10-01,2025-10-18,148310.56,Agent A
DEAL00079,OPP00690,CUST00936,Laptop,Won,2026-01-01,2026-05-24,51976.55,Agent E
DEAL00080,OPP00953,CUST01350,AI Platform,Qualification,2025-03-13,2025-04-23,246117.88,Agent A
DEAL00081,OPP01360,CUST00668,Cloud Subscription,Won,2025-01-27,2025-07-03,220728.42,Agent D
DEAL00082,OPP00915,CUST01587,Laptop,Negotiation,2026-08-09,2027-03-03,253762.95,Agent A
DEAL00083,OPP01683,CUST00854,Analytics Suite,Negotiation,2025-06-10,2025-07-02,233136.31,Agent B
DEAL00084,OPP00721,CUST01506,Analytics Suite,Qualification,2025-05-25,2026-01-18,307596.5,Agent D
DEAL00085,OPP00985,CUST01905,AI Platform,Qualification,2025-07-27,2026-01-04,308297.68,Agent C
